genre,artist,title,level
metal,System of a Down,Chop Suey!,facile
metal,Guns N' Roses,Welcome to the Jungle,facile
metal,Twisted Sister,We're Not Gonna Take It,facile
metal,Judas Priest,Breaking the Law,facile
metal,Motörhead,Ace of Spades,facile
latino,Luis Fonsi,Despacito,facile
latino,Shakira,Hips Don't Lie,facile
latino,Shakira,Waka Waka (This Time for Africa),facile
latino,Ricky Martin,Livin' la Vida Loca,facile
latino,Gipsy Kings,Bamboléo,facile
latino,Los del Río,Macarena,facile
latino,Daddy Yankee,Gasolina,facile
latino,Enrique Iglesias,Bailando,facile
latino,Santana,Smooth,facile
latino,Manu Chao,Me Gustas Tú,facile
latino,J Balvin,Mi Gente,facile
latino,Ricky Martin,María,facile
rap-us,Eminem,Lose Yourself,facile
rap-us,Eminem,The Real Slim Shady,facile
rap-us,Dr. Dre,Still D.R.E.,facile
rap-us,Snoop Dogg,Drop It Like It's Hot,facile
rap-us,50 Cent,In Da Club,facile
rap-us,Coolio,Gangsta's Paradise,facile
rap-us,The Notorious B.I.G.,Juicy,facile
rap-us,2Pac,California Love,facile
rap-us,OutKast,Hey Ya!,facile
rap-us,Kanye West,Stronger,facile
rap-us,Jay-Z,Empire State of Mind,facile
rap-us,House of Pain,Jump Around,facile
rap-fr,IAM,Je danse le Mia,facile
rap-fr,MC Solaar,Caroline,facile
rap-fr,NTM,Laisse pas traîner ton fils,facile
rap-fr,Diam's,La Boulette,facile
rap-fr,Maître Gims,Bella,facile
rap-fr,Black M,Sur ma route,facile
rap-fr,Stromae,Alors on danse,facile
rap-fr,Orelsan,Basique,facile
rap-fr,Bigflo & Oli,Dommage,facile
rap-fr,Soprano,Cosmo,facile
rap-fr,Sexion d'Assaut,Désolé,facile
rap-fr,Booba,Tombé pour elle,facile
afrobeats,CKay,Love Nwantiti,facile
afrobeats,Rema,Calm Down,facile
afrobeats,Burna Boy,Last Last,facile
afrobeats,Wizkid,Essence,facile
afrobeats,Master KG,Jerusalema,facile
afrobeats,Davido,Fall,facile
afrobeats,Yemi Alade,Johnny,facile
afrobeats,Fireboy DML,Peru,facile
afrobeats,Burna Boy,Ye,facile
afrobeats,Aya Nakamura,Djadja,facile
films,Céline Dion,My Heart Will Go On,facile
films,Whitney Houston,I Will Always Love You,facile
films,Bill Conti,Gonna Fly Now (Rocky),facile
films,Ray Parker Jr.,Ghostbusters,facile
films,Bill Medley & Jennifer Warnes,(I've Had) The Time of My Life,facile
films,Berlin,Take My Breath Away,facile
films,Kenny Loggins,Footloose,facile
films,Irene Cara,Flashdance... What a Feeling,facile
films,Elton John,Can You Feel the Love Tonight,facile
films,John Travolta & Olivia Newton-John,You're the One That I Want,facile
films,Bryan Adams,(Everything I Do) I Do It for You,facile
films,Vangelis,Chariots of Fire,facile
disney,Idina Menzel,Let It Go,facile
disney,Elton John,Circle of Life,facile
disney,Peabo Bryson & Regina Belle,A Whole New World,facile
disney,Samuel E. Wright,Under the Sea,facile
disney,Nathan Lane & Ernie Sabella,Hakuna Matata,facile
disney,Auli'i Cravalho,How Far I'll Go,facile
disney,Angela Lansbury,Beauty and the Beast,facile
disney,Lebo M,He Lives in You,facile
disney,Phil Harris,The Bare Necessities,facile
disney,Robin Williams,Friend Like Me,facile
noel,Mariah Carey,All I Want for Christmas Is You,facile
noel,Wham!,Last Christmas,facile
noel,Brenda Lee,Rockin' Around the Christmas Tree,facile
noel,José Feliciano,Feliz Navidad,facile
noel,Band Aid,Do They Know It's Christmas?,facile
noel,Chris Rea,Driving Home for Christmas,facile
noel,Bobby Helms,Jingle Bell Rock,facile
noel,Slade,Merry Xmas Everybody,facile
noel,Wizzard,I Wish It Could Be Christmas Everyday,facile
noel,Michael Bublé,It's Beginning to Look a Lot Like Christmas,facile
