playlist,artist,title,level
Disco dancefloor,Santa Esmeralda,Don't Let Me Be Misunderstood,MEDIUM
Disco dancefloor,Baccara,"Yes Sir, I Can Boogie",EASY
Disco dancefloor,Gibson Brothers,Que Sera Mi Vida,HARD
Disco dancefloor,Imagination,Just an Illusion,MEDIUM
Disco dancefloor,Shalamar,A Night to Remember,HARD
Disco dancefloor,Evelyn King,Shame,HARD
Disco dancefloor,Chaka Khan,I'm Every Woman,MEDIUM
Disco dancefloor,McCrarys,Love on a Summer Night,HARD
Disco dancefloor,George McCrae,Rock Your Baby,HARD
Disco dancefloor,Carl Douglas,Kung Fu Fighting,EASY
Disco dancefloor,Hot Chocolate,You Sexy Thing,EASY
Disco dancefloor,Wild Cherry,Funky Music,HARD
Disco dancefloor,The Weather Girls,It's Raining Men,EASY
Disco dancefloor,Dan Hartman,Relight My Fire,MEDIUM
Disco dancefloor,Lime,Your Love,HARD
Disco dancefloor,France Joli,Come to Me,HARD
Rap FR culte,IAM,Je danse le Mia,EASY
Rap FR culte,IAM,Demain c'est loin,MEDIUM
Rap FR culte,Suprême NTM,Laisse pas traîner ton fils,MEDIUM
Rap FR culte,Suprême NTM,That's My People,MEDIUM
Rap FR culte,MC Solaar,Caroline,EASY
Rap FR culte,MC Solaar,Bouge de là,MEDIUM
Rap FR culte,MC Solaar,Nouveau Western,MEDIUM
Rap FR culte,113,Tonton du bled,EASY
Rap FR culte,113,Les Princes de la ville,MEDIUM
Rap FR culte,Booba,Tombé pour elle,MEDIUM
Rap FR culte,Booba,Boulbi,MEDIUM
Rap FR culte,Booba,DKR,MEDIUM
Rap FR culte,Diam's,La Boulette,EASY
Rap FR culte,Diam's,Jeune Demoiselle,EASY
Rap FR culte,Diam's,DJ,MEDIUM
Rap FR culte,Sniper,Gravé dans la roche,MEDIUM
Rap FR culte,Rohff,La Puissance,MEDIUM
Rap FR culte,Sexion d'Assaut,Désolé,EASY
Rap FR culte,Sexion d'Assaut,Wati by Night,MEDIUM
Rap FR culte,Maître Gims,Bella,EASY
Rap FR culte,Maître Gims,Sapés comme jamais,EASY
Rap FR culte,Maître Gims,Est-ce que tu m'aimes ?,EASY
Rap FR culte,Soprano,Cosmo,MEDIUM
Rap FR culte,Soprano,À la bien,MEDIUM
Rap FR culte,Stromae,Alors on danse,EASY
Rap FR culte,Stromae,Papaoutai,EASY
Rap FR culte,Stromae,Formidable,EASY
Rap FR culte,Stromae,Tous les mêmes,MEDIUM
Rap FR culte,Orelsan,Basique,EASY
Rap FR culte,Orelsan,La pluie,MEDIUM
Rap FR culte,Orelsan,Tout va bien,MEDIUM
Rap FR culte,Bigflo & Oli,Dommage,EASY
Rap FR culte,Bigflo & Oli,Plus tard,MEDIUM
Rap FR culte,Nekfeu,On verra,EASY
Rap FR culte,Nekfeu,Égérie,MEDIUM
Rap FR culte,PNL,Le Monde ou rien,MEDIUM
Rap FR culte,PNL,À l'ammoniaque,MEDIUM
Rap FR culte,Jul,Tchikita,EASY
Rap FR culte,Jul,Wesh alors,MEDIUM
Rap FR culte,Damso,Macarena,MEDIUM
Rap FR culte,Damso,Mosaïque solitaire,HARD
Rap FR culte,Niska,Réseaux,EASY
Rap FR culte,Niska,Salé,MEDIUM
Rap FR culte,Aya Nakamura,Djadja,EASY
Rap FR culte,Aya Nakamura,Pookie,EASY
Rap FR culte,Aya Nakamura,Copines,MEDIUM
Rap FR culte,Black M,Sur ma route,EASY
Rap FR culte,Maître Gims,La Même,MEDIUM
Rap FR culte,Vald,Désaccordé,HARD
Rap FR culte,Lomepal,Trop beau,MEDIUM
Rap FR culte,Bigflo & Oli,Demain,MEDIUM
Rap FR culte,Gradur,Sheguey,HARD
Rap FR culte,Kaaris,Zoo,HARD
Rap FR culte,Lacrim,Corleone,MEDIUM
Rap FR culte,La Fouine,Du ferme,MEDIUM
Rap FR culte,Sefyu,Molotov 4,HARD
Rap FR culte,Sinik,Une époque formidable,HARD
Rap FR culte,Disiz la Peste,J'pète les plombs,MEDIUM
Rap FR culte,Kery James,Banlieusards,MEDIUM
Rap FR culte,Youssoupha,Dreamin',MEDIUM
Rap FR culte,Médine,Grand Paris,HARD
Rap FR culte,Dosseh,Habitué,HARD
Rap FR culte,Ninho,Lettre à une femme,MEDIUM
Rap FR culte,Ninho,Goutte d'eau,MEDIUM
Rap FR culte,SCH,Mannschaft,HARD
Rap FR culte,Hamza,Life,HARD
Rap FR culte,Naps,La Kiffance,EASY
Rap FR culte,Gazo,Drill FR,HARD
Rap FR culte,Tiakola,Coco,MEDIUM
Rap FR culte,Werenoi,Guerilla,HARD
Rap FR culte,Soolking,Dalida,EASY
Rap FR culte,Soolking,Liberté,MEDIUM
Rap FR culte,Heuss l'Enfoiré,Khapta,MEDIUM
Rap FR culte,Sch,Otto,HARD
Rap FR culte,Lefa,3 du mat,HARD
Rap FR culte,Doc Gynéco,Viens voir le docteur,MEDIUM
Rap FR culte,Passi,Je zappe et je mate,MEDIUM
Rap FR culte,Ärsenik,Boxe avec les mots,HARD
Tubes de l'été,Luis Fonsi,Despacito,EASY
Tubes de l'été,Los del Río,Macarena,EASY
Tubes de l'été,Shakira,Waka Waka (This Time for Africa),EASY
Tubes de l'été,Daft Punk,Get Lucky,EASY
Tubes de l'été,Robin Thicke,Blurred Lines,EASY
Tubes de l'été,Pharrell Williams,Happy,EASY
Tubes de l'été,Calvin Harris,Summer,MEDIUM
Tubes de l'été,Alexandra Stan,Mr. Saxobeat,EASY
Tubes de l'été,Don Omar,Danza Kuduro,EASY
Tubes de l'été,Yolanda Be Cool,We No Speak Americano,EASY
Tubes de l'été,Jennifer Lopez,On the Floor,EASY
Tubes de l'été,Avicii,Wake Me Up,EASY
Tubes de l'été,Major Lazer,Lean On,EASY
Tubes de l'été,Drake,One Dance,EASY
Tubes de l'été,Sia,Cheap Thrills,EASY
Tubes de l'été,Camila Cabello,Havana,EASY
Tubes de l'été,Shawn Mendes,Señorita,EASY
Tubes de l'été,Marc Anthony,Vivir Mi Vida,EASY
Tubes de l'été,Enrique Iglesias,Bailando,EASY
Tubes de l'été,Sak Noel,Loca People,MEDIUM
Tubes de l'été,Calvin Harris,This Is What You Came For,EASY
Tubes de l'été,Justin Timberlake,Can't Stop the Feeling!,EASY
Tubes de l'été,Kungs,This Girl,EASY
Tubes de l'été,Lost Frequencies,Are You with Me,MEDIUM
Tubes de l'été,Mr. Probz,Waves,MEDIUM
Tubes de l'été,Robin Schulz,Sugar,MEDIUM
Tubes de l'été,Alvaro Soler,Sofia,EASY
Tubes de l'été,OMI,Cheerleader,EASY
Tubes de l'été,Magic!,Rude,EASY
Tubes de l'été,MAGIC SYSTEM,Premier Gaou,EASY
Tubes de l'été,Magic System,Magic in the Air,EASY
Tubes de l'été,Kaoma,Lambada,EASY
Tubes de l'été,Gipsy Kings,Bamboléo,EASY
Tubes de l'été,Las Ketchup,Aserejé,EASY
Tubes de l'été,Lou Bega,Mambo No. 5,EASY
Tubes de l'été,Bellini,Samba de Janeiro,EASY
Tubes de l'été,Crazy Frog,Axel F,EASY
Tubes de l'été,Sean Paul,Temperature,EASY
Tubes de l'été,Wisin & Yandel,Rakata,HARD
Tubes de l'été,Pitbull,I Know You Want Me (Calle Ocho),EASY
Tubes de l'été,Pitbull,Give Me Everything,EASY
Tubes de l'été,Flo Rida,Whistle,EASY
Tubes de l'été,Flo Rida,Good Feeling,EASY
Tubes de l'été,LMFAO,Party Rock Anthem,EASY
Tubes de l'été,LMFAO,Sexy and I Know It,EASY
Tubes de l'été,will.i.am,I Gotta Feeling,EASY
Tubes de l'été,The Black Eyed Peas,I Gotta Feeling,EASY
Tubes de l'été,David Guetta,Titanium,EASY
Tubes de l'été,David Guetta,Sexy Bitch,EASY
Tubes de l'été,Daddy Yankee,Gasolina,EASY
Tubes de l'été,J Balvin,Mi Gente,EASY
Tubes de l'été,Ozuna,Taki Taki,MEDIUM
Tubes de l'été,Luis Fonsi,Échame la Culpa,MEDIUM
Tubes de l'été,Manu Chao,Me Gustas Tú,EASY
Tubes de l'été,Stromae,Alors on danse,EASY
Tubes de l'été,Lykke Li / wait no,X,HARD
Tubes de l'été,Boomdabash,Karaoke,MEDIUM
Tubes de l'été,Jain,Makeba,EASY
Tubes de l'été,Stromae,Papaoutai,EASY
Tubes de l'été,Måneskin,Beggin',EASY
Tubes de l'été,Glass Animals,Heat Waves,EASY
Tubes de l'été,Tones and I,Dance Monkey,EASY
Tubes de l'été,Ed Sheeran,Shape of You,EASY
Tubes de l'été,Ed Sheeran,Shivers,MEDIUM
Tubes de l'été,Dua Lipa,Levitating,EASY
Tubes de l'été,Harry Styles,As It Was,EASY
Tubes de l'été,Bad Bunny,Tití Me Preguntó,MEDIUM
Tubes de l'été,Karol G,Tusa,EASY
Tubes de l'été,Rosalía,Despechá,MEDIUM
Tubes de l'été,Bizarrap & Quevedo,Quédate,MEDIUM
Tubes de l'été,Farruko,Pepas,MEDIUM
Tubes de l'été,Tiësto,The Business,MEDIUM
Tubes de l'été,Imanbek & Saint Jhn,Roses,MEDIUM
Tubes de l'été,Master KG,Jerusalema,EASY
Tubes de l'été,CKay,Love Nwantiti,MEDIUM
Tubes de l'été,Burna Boy,Last Last,MEDIUM
Slows cultes,The Righteous Brothers,Unchained Melody,EASY
Slows cultes,George Michael,Careless Whisper,EASY
Slows cultes,Eric Clapton,Wonderful Tonight,EASY
Slows cultes,Sinéad O'Connor,Nothing Compares 2 U,EASY
Slows cultes,The Police,Every Breath You Take,EASY
Slows cultes,Extreme,More Than Words,MEDIUM
Slows cultes,Metallica,Nothing Else Matters,EASY
Slows cultes,Scorpions,Wind of Change,EASY
Slows cultes,Guns N' Roses,November Rain,EASY
Slows cultes,Mariah Carey,Hero,EASY
Slows cultes,Berlin,Take My Breath Away,MEDIUM
Slows cultes,Chris de Burgh,The Lady in Red,EASY
Slows cultes,The Bangles,Eternal Flame,EASY
Slows cultes,Chris Isaak,Wicked Game,MEDIUM
Slows cultes,Savage Garden,Truly Madly Deeply,MEDIUM
Slows cultes,Goo Goo Dolls,Iris,EASY
Slows cultes,U2,With or Without You,EASY
Slows cultes,Bon Jovi,Always,MEDIUM
Slows cultes,Van Morrison,Have I Told You Lately,MEDIUM
Slows cultes,Elton John,Your Song,EASY
Slows cultes,Eric Clapton,Tears in Heaven,EASY
Slows cultes,Cat Stevens,Father and Son,MEDIUM
Slows cultes,Aerosmith,I Don't Want to Miss a Thing,EASY
Slows cultes,Bryan Adams,(Everything I Do) I Do It for You,EASY
Slows cultes,Bryan Adams,Heaven,MEDIUM
Slows cultes,Whitney Houston,I Will Always Love You,EASY
Slows cultes,Celine Dion,My Heart Will Go On,EASY
Slows cultes,Lionel Richie,Hello,EASY
Slows cultes,Stevie Wonder,I Just Called to Say I Love You,EASY
Slows cultes,Foreigner,I Want to Know What Love Is,MEDIUM
Slows cultes,REO Speedwagon,Can't Fight This Feeling,MEDIUM
Slows cultes,Toto,I'll Be Over You,HARD
Slows cultes,Chicago,Hard to Say I'm Sorry,MEDIUM
Slows cultes,Cutting Crew,(I Just) Died in Your Arms,MEDIUM
Slows cultes,Roxette,It Must Have Been Love,EASY
Slows cultes,Roxette,Listen to Your Heart,MEDIUM
Slows cultes,Cyndi Lauper,Time After Time,EASY
Slows cultes,Whitney Houston,Saving All My Love for You,MEDIUM
Slows cultes,Boyz II Men,End of the Road,MEDIUM
Slows cultes,Boyz II Men,I'll Make Love to You,MEDIUM
Slows cultes,R. Kelly,I Believe I Can Fly,EASY
Slows cultes,Backstreet Boys,I Want It That Way,EASY
Slows cultes,Westlife,Flying Without Wings,MEDIUM
Slows cultes,Ronan Keating,When You Say Nothing at All,MEDIUM
Slows cultes,Wet Wet Wet,Love Is All Around,MEDIUM
Slows cultes,Bryan Adams,Please Forgive Me,MEDIUM
Slows cultes,Joe Cocker & Jennifer Warnes,Up Where We Belong,MEDIUM
Slows cultes,Patrick Swayze,She's Like the Wind,MEDIUM
Slows cultes,Spandau Ballet,True,MEDIUM
Slows cultes,Lionel Richie,Stuck on You,HARD
Slows cultes,Phil Collins,Against All Odds,MEDIUM
Slows cultes,Phil Collins,One More Night,MEDIUM
Slows cultes,Air Supply,All Out of Love,MEDIUM
Slows cultes,Chicago,You're the Inspiration,HARD
Slows cultes,Survivor,The Search Is Over,HARD
Slows cultes,Heart,Alone,MEDIUM
Slows cultes,Bonnie Tyler,Total Eclipse of the Heart,EASY
Slows cultes,Meat Loaf,I'd Do Anything for Love,MEDIUM
Slows cultes,Aerosmith,Crazy,MEDIUM
Slows cultes,Aerosmith,Cryin',MEDIUM
Slows cultes,Nazareth,Love Hurts,MEDIUM
Slows cultes,Scorpions,Still Loving You,EASY
Slows cultes,Europe,Carrie,HARD
Slows cultes,Mr. Big,To Be with You,MEDIUM
Slows cultes,Poison,Every Rose Has Its Thorn,MEDIUM
Slows cultes,Bon Jovi,Bed of Roses,MEDIUM
Slows cultes,Bryan Adams,Have You Ever Really Loved a Woman?,MEDIUM
Slows cultes,Lifehouse,You and Me,HARD
Slows cultes,James Blunt,You're Beautiful,EASY
Slows cultes,Ed Sheeran,Perfect,EASY
Slows cultes,Ed Sheeran,Thinking Out Loud,EASY
Slows cultes,John Legend,All of Me,EASY
Slows cultes,Christina Perri,A Thousand Years,EASY
Slows cultes,Adele,Make You Feel My Love,MEDIUM
Slows cultes,Leona Lewis,Bleeding Love,EASY
Slows cultes,Sam Smith,Stay with Me,EASY
