slug,playlist,work,aliases,artist,title,level
video-games,Jeux Vidéo,Chrono Trigger,Chrono Trigger,Yasunori Mitsuda,Chrono Trigger Main Theme,EXPERT
video-games,Jeux Vidéo,The Last of Us,The Last of Us,Gustavo Santaolalla,The Last of Us Theme,MEDIUM
video-games,Jeux Vidéo,Assassin's Creed II,Assassin's Creed,Jesper Kyd,Ezio's Family,MEDIUM
video-games,Jeux Vidéo,Hollow Knight,Hollow Knight,,Hollow Knight Theme,EXPERT
video-games,Jeux Vidéo,Stardew Valley,Stardew Valley,,Stardew Valley Overture,EXPERT
video-games,Jeux Vidéo,Cuphead,Cuphead,,Floral Fury,EXPERT
video-games,Jeux Vidéo,Wii Sports,Wii Sports,,Wii Sports Theme,MEDIUM
video-games,Jeux Vidéo,Angry Birds,Angry Birds,,Angry Birds Theme,MEDIUM
video-games,Jeux Vidéo,Among Us,Among Us,,Among Us Drip Theme,MEDIUM
video-games,Jeux Vidéo,Civilization IV,Civilization,Christopher Tin,Baba Yetu,EXPERT
video-games,Jeux Vidéo,Persona 5,Persona 5,,Last Surprise,EXPERT
video-games,Jeux Vidéo,Elden Ring,Elden Ring,,Elden Ring Main Theme,EXPERT
video-games,Jeux Vidéo,Bloodborne,Bloodborne,,Bloodborne Main Theme,EXPERT
video-games,Jeux Vidéo,Dark Souls,Dark Souls,,"Gwyn, Lord of Cinder",EXPERT
video-games,Jeux Vidéo,Nier: Automata,Nier Automata,,Weight of the World,EXPERT
video-games,Jeux Vidéo,God of War,God of War,Bear McCreary,God of War Theme,EXPERT
video-games,Jeux Vidéo,Hades,Hades,Darren Korb,God of the Dead,EXPERT
video-games,Jeux Vidéo,The Witcher 3,The Witcher,,Geralt of Rivia,MEDIUM
video-games,Jeux Vidéo,Mario Kart,Mario Kart,,Rainbow Road,MEDIUM
video-games,Jeux Vidéo,The Legend of Zelda: Ocarina of Time,Ocarina of Time|Zelda,Koji Kondo,Song of Storms,MEDIUM
video-games,Jeux Vidéo,Space Invaders,Space Invaders,,Space Invaders Theme,MEDIUM
video-games,Jeux Vidéo,Pong,Pong,,Pong,EXPERT
video-games,Jeux Vidéo,FIFA,FIFA,,FIFA Anthem,MEDIUM
video-games,Jeux Vidéo,Red Dead Redemption 2,Red Dead Redemption,,That's the Way It Is,EXPERT
video-games,Jeux Vidéo,Outer Wilds,Outer Wilds,,Outer Wilds Theme,EXPERT
video-games,Jeux Vidéo,Ori and the Blind Forest,Ori,,Ori Theme,EXPERT
video-games,Jeux Vidéo,Monkey Island,Monkey Island,,The Secret of Monkey Island Theme,EXPERT
video-games,Jeux Vidéo,Banjo-Kazooie,Banjo-Kazooie,,Spiral Mountain,EXPERT
video-games,Jeux Vidéo,Spyro the Dragon,Spyro,,Spyro the Dragon Theme,EXPERT
video-games,Jeux Vidéo,Katamari Damacy,Katamari,,Katamari on the Rocks,EXPERT
club-dorothee,Génériques Club Dorothée,Dragon Ball Z,Dragon Ball Z,Ariane,Dragon Ball Z (générique français),EASY
club-dorothee,Génériques Club Dorothée,Les Chevaliers du Zodiaque,Saint Seiya,Bernard Minet,Les Chevaliers du Zodiaque,EASY
club-dorothee,Génériques Club Dorothée,Bioman,Choudenshi Bioman,Bernard Minet,Bioman,MEDIUM
club-dorothee,Génériques Club Dorothée,Goldorak,UFO Robot Grendizer,,Accroche-toi Goldorak,MEDIUM
club-dorothee,Génériques Club Dorothée,Albator,Captain Harlock,,Albator,MEDIUM
club-dorothee,Génériques Club Dorothée,Nicky Larson,City Hunter,,Nicky Larson,MEDIUM
club-dorothee,Génériques Club Dorothée,Olive et Tom,Captain Tsubasa,,Olive et Tom,EASY
club-dorothee,Génériques Club Dorothée,Ken le Survivant,Hokuto no Ken|Fist of the North Star,,Ken le Survivant,MEDIUM
club-dorothee,Génériques Club Dorothée,Cat's Eye,Cat's Eye,,Signé Cat's Eye,MEDIUM
club-dorothee,Génériques Club Dorothée,Les Mystérieuses Cités d'Or,Cités d'Or,,Les Mystérieuses Cités d'Or,EASY
club-dorothee,Génériques Club Dorothée,Sailor Moon,Sailor Moon,,Sailor Moon (générique français),MEDIUM
club-dorothee,Génériques Club Dorothée,Juliette je t'aime,Maison Ikkoku,,Juliette je t'aime,EXPERT
club-dorothee,Génériques Club Dorothée,Jeanne et Serge,Attacker You,,Jeanne et Serge,MEDIUM
club-dorothee,Génériques Club Dorothée,"Le Collège fou, fou, fou",High School Kimengumi,,Le Collège fou fou fou,MEDIUM
club-dorothee,Génériques Club Dorothée,Max et Compagnie,Kimagure Orange Road,,Max et Compagnie,EXPERT
club-dorothee,Génériques Club Dorothée,Ranma ½,Ranma,,Ranma ½,EXPERT
club-dorothee,Génériques Club Dorothée,"Creamy, merveilleuse Creamy",Creamy Mami,,Creamy,EXPERT
club-dorothee,Génériques Club Dorothée,Gigi,Magical Princess Minky Momo,,Gigi,EXPERT
club-dorothee,Génériques Club Dorothée,Princesse Sarah,A Little Princess Sara,,Princesse Sarah,EASY
club-dorothee,Génériques Club Dorothée,Lady Oscar,Rose of Versailles,,Lady Oscar,EASY
club-dorothee,Génériques Club Dorothée,Tom Sawyer,Tom Sawyer,,Les Aventures de Tom Sawyer,EASY
club-dorothee,Génériques Club Dorothée,Cobra,Space Adventure Cobra,,Cobra,MEDIUM
club-dorothee,Génériques Club Dorothée,San Ku Kaï,San Ku Kai,,San Ku Kaï,MEDIUM
club-dorothee,Génériques Club Dorothée,Capitaine Flam,Captain Future,,Capitaine Flam,EASY
club-dorothee,Génériques Club Dorothée,Ulysse 31,Ulysse 31,,Ulysse 31,EASY
club-dorothee,Génériques Club Dorothée,Il était une fois... l'Homme,Il était une fois l'Homme,,Il était une fois l'Homme,EASY
club-dorothee,Génériques Club Dorothée,Les Entrechats,Heathcliff,,Les Entrechats,MEDIUM
club-dorothee,Génériques Club Dorothée,Rémi sans famille,Rémi,,Rémi sans famille,MEDIUM
club-dorothee,Génériques Club Dorothée,Maya l'abeille,Maya,,Maya l'abeille,EASY
club-dorothee,Génériques Club Dorothée,Heidi,Heidi,,Heidi,EASY
club-dorothee,Génériques Club Dorothée,Candy,Candy Candy,,Candy,EASY
club-dorothee,Génériques Club Dorothée,Le Roi Léo,Kimba,,Le Roi Léo,MEDIUM
club-dorothee,Génériques Club Dorothée,Belle et Sébastien,Belle et Sébastien,,Belle et Sébastien,MEDIUM
club-dorothee,Génériques Club Dorothée,Wingman,Wingman,,Wingman,EXPERT
club-dorothee,Génériques Club Dorothée,Lamu,Urusei Yatsura,,Lamu,EXPERT
club-dorothee,Génériques Club Dorothée,Astro le petit robot,Astro Boy,,Astro le petit robot,MEDIUM
club-dorothee,Génériques Club Dorothée,X-Or,Gavan|Space Sheriff Gavan,,X-Or,MEDIUM
club-dorothee,Génériques Club Dorothée,Dorothée,Dorothée,Dorothée,Allô allô Monsieur l'Ordinateur,MEDIUM
club-dorothee,Génériques Club Dorothée,Les Tortues Ninja,Tortues Ninja,Bernard Minet,Les Tortues Ninja,MEDIUM
club-dorothee,Génériques Club Dorothée,Power Rangers,Power Rangers,Bernard Minet,Power Rangers,MEDIUM
club-dorothee,Génériques Club Dorothée,Card Captor Sakura,Sakura,,Card Captor Sakura,EXPERT
club-dorothee,Génériques Club Dorothée,Vidéo Girl Aï,Video Girl Ai,,Vidéo Girl Aï,EXPERT
club-dorothee,Génériques Club Dorothée,Pollyanna,Pollyanna,,Pollyanna,EXPERT
club-dorothee,Génériques Club Dorothée,Susy aux fleurs magiques,Mahou no Tenshi,,Susy aux fleurs magiques,EXPERT
club-dorothee,Génériques Club Dorothée,Jayce et les Conquérants de la lumière,Jayce,,Jayce et les Conquérants de la lumière,EXPERT
series-tv,Génériques Séries TV,Friends,Friends,The Rembrandts,I'll Be There for You,EASY
series-tv,Génériques Séries TV,The Fresh Prince of Bel-Air,Le Prince de Bel-Air,Will Smith,Fresh Prince of Bel-Air Theme,EASY
series-tv,Génériques Séries TV,Game of Thrones,Game of Thrones,Ramin Djawadi,Main Title,EASY
series-tv,Génériques Séries TV,The Big Bang Theory,The Big Bang Theory,Barenaked Ladies,The History of Everything,MEDIUM
series-tv,Génériques Séries TV,Stranger Things,Stranger Things,Kyle Dixon & Michael Stein,Stranger Things Theme,EASY
series-tv,Génériques Séries TV,Breaking Bad,Breaking Bad,,Breaking Bad Main Title,MEDIUM
series-tv,Génériques Séries TV,The Office,The Office,,The Office Theme,MEDIUM
series-tv,Génériques Séries TV,Peaky Blinders,Peaky Blinders,Nick Cave & the Bad Seeds,Red Right Hand,MEDIUM
series-tv,Génériques Séries TV,Mission: Impossible,Mission Impossible,Lalo Schifrin,Mission: Impossible Theme,MEDIUM
series-tv,Génériques Séries TV,The X-Files,X-Files,Mark Snow,The X-Files Theme,MEDIUM
series-tv,Génériques Séries TV,Twin Peaks,Twin Peaks,Angelo Badalamenti,Twin Peaks Theme,EXPERT
series-tv,Génériques Séries TV,Knight Rider,K2000,,Knight Rider Theme,MEDIUM
series-tv,Génériques Séries TV,The A-Team,L'Agence tous risques,,The A-Team Theme,MEDIUM
series-tv,Génériques Séries TV,"Magnum, P.I.",Magnum,,Magnum P.I. Theme,MEDIUM
series-tv,Génériques Séries TV,Miami Vice,Deux flics à Miami,Jan Hammer,Crockett's Theme,MEDIUM
series-tv,Génériques Séries TV,Baywatch,Alerte à Malibu,,I'm Always Here,MEDIUM
series-tv,Génériques Séries TV,Dallas,Dallas,,Dallas Theme,EXPERT
series-tv,Génériques Séries TV,Cheers,Cheers,,Where Everybody Knows Your Name,MEDIUM
series-tv,Génériques Séries TV,Seinfeld,Seinfeld,,Seinfeld Theme,EXPERT
series-tv,Génériques Séries TV,The Sopranos,Les Soprano,Alabama 3,Woke Up This Morning,MEDIUM
series-tv,Génériques Séries TV,Doctor Who,Doctor Who,,Doctor Who Theme,MEDIUM
series-tv,Génériques Séries TV,Sherlock,Sherlock,,Sherlock Theme,EXPERT
series-tv,Génériques Séries TV,Lost,Lost,Michael Giacchino,Lost Main Title,EXPERT
series-tv,Génériques Séries TV,24,24 heures chrono,,24 Theme,EXPERT
series-tv,Génériques Séries TV,Dexter,Dexter,Rolfe Kent,Blood Theme,EXPERT
series-tv,Génériques Séries TV,The Walking Dead,The Walking Dead,,The Walking Dead Theme,EXPERT
series-tv,Génériques Séries TV,Money Heist,La Casa de Papel,,Bella Ciao,EASY
series-tv,Génériques Séries TV,Squid Game,Squid Game,,Pink Soldiers,MEDIUM
series-tv,Génériques Séries TV,Narcos,Narcos,Rodrigo Amarante,Tuyo,MEDIUM
series-tv,Génériques Séries TV,Vikings,Vikings,Fever Ray,If I Had a Heart,EXPERT
series-tv,Génériques Séries TV,The Mandalorian,The Mandalorian,Ludwig Göransson,The Mandalorian Theme,MEDIUM
series-tv,Génériques Séries TV,Westworld,Westworld,Ramin Djawadi,Westworld Theme,EXPERT
series-tv,Génériques Séries TV,True Blood,True Blood,Jace Everett,Bad Things,EXPERT
series-tv,Génériques Séries TV,The Wire,Sur écoute,,Way Down in the Hole,EXPERT
series-tv,Génériques Séries TV,Outlander,Outlander,Bear McCreary,The Skye Boat Song,EXPERT
series-tv,Génériques Séries TV,Sex and the City,Sex and the City,,Sex and the City Theme,MEDIUM
series-tv,Génériques Séries TV,How I Met Your Mother,How I Met Your Mother,The Solids,Hey Beautiful,MEDIUM
series-tv,Génériques Séries TV,Hawaii Five-O,Hawaii police d'État,,Hawaii Five-O Theme,MEDIUM
series-tv,Génériques Séries TV,Charmed,Charmed,Love Spit Love,How Soon Is Now?,MEDIUM
series-tv,Génériques Séries TV,Buffy the Vampire Slayer,Buffy contre les vampires,Nerf Herder,Buffy Theme,EXPERT
series-tv,Génériques Séries TV,Married... with Children,Mariés deux enfants,Frank Sinatra,Love and Marriage,MEDIUM
series-tv,Génériques Séries TV,Plus belle la vie,Plus belle la vie,,Plus belle la vie générique,MEDIUM
series-tv,Génériques Séries TV,Kaamelott,Kaamelott,Alexandre Astier,Générique de Kaamelott,MEDIUM
series-tv,Génériques Séries TV,"Un gars, une fille",Un gars une fille,,Un gars une fille générique,MEDIUM
series-tv,Génériques Séries TV,Caméra Café,Caméra Café,,Caméra Café générique,MEDIUM
series-tv,Génériques Séries TV,Hélène et les Garçons,Hélène et les Garçons,,Pour l'amour d'Hélène,MEDIUM
series-tv,Génériques Séries TV,Premiers Baisers,Premiers Baisers,,Premiers Baisers générique,EXPERT
series-tv,Génériques Séries TV,"Hartley, cœurs à vif",Hartley coeurs à vif,,Hartley Theme,EXPERT
series-tv,Génériques Séries TV,Code Lyoko,Code Lyoko,,Un monde sans danger,MEDIUM
series-tv,Génériques Séries TV,Emily in Paris,Emily in Paris,,Mon Soleil,EXPERT
series-tv,Génériques Séries TV,Lupin,Lupin,,Lupin Theme,EXPERT
