playlist,work,aliases,artist,title,level
Génériques Disney & Pixar,Pinocchio,Pinocchio,,When You Wish Upon a Star,MEDIUM
Génériques Disney & Pixar,Cinderella,Cendrillon,,Bibbidi-Bobbidi-Boo,MEDIUM
Génériques Disney & Pixar,Cinderella,Cendrillon,,A Dream Is a Wish Your Heart Makes,MEDIUM
Génériques Disney & Pixar,Snow White and the Seven Dwarfs,Blanche-Neige et les Sept Nains|Blanche-Neige,,Heigh-Ho,EASY
Génériques Disney & Pixar,Snow White and the Seven Dwarfs,Blanche-Neige,,Whistle While You Work,MEDIUM
Génériques Disney & Pixar,Snow White and the Seven Dwarfs,Blanche-Neige,,Someday My Prince Will Come,HARD
Génériques Disney & Pixar,Mary Poppins,Mary Poppins,Julie Andrews & Dick Van Dyke,Supercalifragilisticexpialidocious,EASY
Génériques Disney & Pixar,Mary Poppins,Mary Poppins,Julie Andrews,A Spoonful of Sugar,MEDIUM
Génériques Disney & Pixar,Mary Poppins,Mary Poppins,Dick Van Dyke,Chim Chim Cher-ee,MEDIUM
Génériques Disney & Pixar,Toy Story,Toy Story,Randy Newman,You've Got a Friend in Me,EASY
Génériques Disney & Pixar,Tarzan,Tarzan,Phil Collins,You'll Be in My Heart,MEDIUM
Génériques Disney & Pixar,Tarzan,Tarzan,Phil Collins,Two Worlds,HARD
Génériques Disney & Pixar,The Aristocats,Les Aristochats,,Everybody Wants to Be a Cat,MEDIUM
Génériques Disney & Pixar,Encanto,Encanto,,We Don't Talk About Bruno,EASY
Génériques Disney & Pixar,Encanto,Encanto,,Surface Pressure,MEDIUM
Génériques Disney & Pixar,Encanto,Encanto,Stephanie Beatriz,Waiting on a Miracle,HARD
Génériques Disney & Pixar,Coco,Coco,,Remember Me,EASY
Génériques Disney & Pixar,Coco,Coco,Anthony Gonzalez,Un Poco Loco,MEDIUM
Génériques Disney & Pixar,Zootopia,Zootopie,Shakira,Try Everything,EASY
Génériques Disney & Pixar,The Princess and the Frog,La Princesse et la Grenouille,,Almost There,HARD
Génériques Disney & Pixar,The Hunchback of Notre Dame,Le Bossu de Notre-Dame,,God Help the Outcasts,HARD
Génériques Disney & Pixar,High School Musical,High School Musical,,We're All in This Together,EASY
Génériques Disney & Pixar,High School Musical,High School Musical,Zac Efron & Vanessa Hudgens,Breaking Free,MEDIUM
Génériques Disney & Pixar,Lilo & Stitch,Lilo et Stitch,,Hawaiian Roller Coaster Ride,MEDIUM
Génériques Disney & Pixar,Sleeping Beauty,La Belle au bois dormant,,Once Upon a Dream,MEDIUM
Génériques Disney & Pixar,Peter Pan,Peter Pan,,You Can Fly! You Can Fly! You Can Fly!,HARD
Génériques Disney & Pixar,Dumbo,Dumbo,,Baby Mine,HARD
Génériques Disney & Pixar,Robin Hood,Robin des Bois,,Oo-De-Lally,HARD
Génériques Disney & Pixar,"Monsters, Inc.",Monstres et Cie,,If I Didn't Have You,MEDIUM
Génériques Disney & Pixar,Cars,Cars|Cars Quatre Roues,Rascal Flatts,Life Is a Highway,MEDIUM
Génériques Disney & Pixar,Wreck-It Ralph,Les Mondes de Ralph,Owl City,When Can I See You Again?,HARD
Génériques Disney & Pixar,Big Hero 6,Les Nouveaux Héros,Fall Out Boy,Immortals,MEDIUM
Génériques Disney & Pixar,Brother Bear,Frère des ours,Phil Collins,On My Way,HARD
Génériques Disney & Pixar,Pinocchio,Pinocchio,,I've Got No Strings,HARD
Génériques Disney & Pixar,The Many Adventures of Winnie the Pooh,Winnie l'ourson,,Winnie the Pooh,MEDIUM
Génériques dessins animés & séries enfants,The Simpsons,Les Simpson,Danny Elfman,The Simpsons Theme,EASY
Génériques dessins animés & séries enfants,SpongeBob SquarePants,Bob l'éponge,,SpongeBob SquarePants Theme,EASY
Génériques dessins animés & séries enfants,Pokémon,Pokemon,,Pokémon Theme,EASY
Génériques dessins animés & séries enfants,Teenage Mutant Ninja Turtles,Les Tortues Ninja,,Teenage Mutant Ninja Turtles Theme,EASY
Génériques dessins animés & séries enfants,Scooby-Doo,Scooby-Doo,,"Scooby-Doo, Where Are You!",EASY
Génériques dessins animés & séries enfants,Tom and Jerry,Tom et Jerry,,Tom and Jerry Theme,MEDIUM
Génériques dessins animés & séries enfants,Looney Tunes,Looney Tunes,,The Merry-Go-Round Broke Down,MEDIUM
Génériques dessins animés & séries enfants,DuckTales,La Bande à Picsou,,DuckTales Theme,MEDIUM
Génériques dessins animés & séries enfants,Inspector Gadget,Inspecteur Gadget,,Inspector Gadget Theme,MEDIUM
Génériques dessins animés & séries enfants,The Powerpuff Girls,Les Supers Nanas,,The Powerpuff Girls Theme,MEDIUM
Génériques dessins animés & séries enfants,Phineas and Ferb,Phineas et Ferb,,Today Is Gonna Be a Great Day,MEDIUM
Génériques dessins animés & séries enfants,Gravity Falls,Souvenirs de Gravity Falls,,Gravity Falls Theme,MEDIUM
Génériques dessins animés & séries enfants,Adventure Time,Adventure Time,,Adventure Time Theme,MEDIUM
Génériques dessins animés & séries enfants,Teen Titans,Teen Titans|Les Jeunes Titans,Puffy AmiYumi,Teen Titans Theme,MEDIUM
Génériques dessins animés & séries enfants,Ben 10,Ben 10,,Ben 10 Theme,MEDIUM
Génériques dessins animés & séries enfants,The Fairly OddParents,Mes parrains sont magiques,,The Fairly OddParents Theme,MEDIUM
Génériques dessins animés & séries enfants,Rugrats,Les Razmoket,,Rugrats Theme,HARD
Génériques dessins animés & séries enfants,Hey Arnold!,Hé Arnold !,,Hey Arnold! Theme,HARD
Génériques dessins animés & séries enfants,Dragon Ball Z,Dragon Ball Z,,Rock the Dragon,MEDIUM
Génériques dessins animés & séries enfants,Sailor Moon,Sailor Moon,,Sailor Moon Theme,MEDIUM
Génériques dessins animés & séries enfants,Digimon,Digimon,,Digimon Theme,MEDIUM
Génériques dessins animés & séries enfants,Avatar: The Last Airbender,Avatar le dernier maître de l'air,,Avatar Main Theme,MEDIUM
Génériques dessins animés & séries enfants,Steven Universe,Steven Universe,,We Are the Crystal Gems,MEDIUM
Génériques dessins animés & séries enfants,The Amazing World of Gumball,Le Monde incroyable de Gumball,,Gumball Theme,MEDIUM
Génériques dessins animés & séries enfants,PAW Patrol,Pat' Patrouille,,PAW Patrol Theme,EASY
Génériques dessins animés & séries enfants,Peppa Pig,Peppa Pig,,Peppa Pig Theme,EASY
Génériques dessins animés & séries enfants,Bluey,Bluey,,Bluey Theme,EASY
Génériques dessins animés & séries enfants,Masha and the Bear,Masha et Michka,,Masha and the Bear Theme,MEDIUM
Génériques dessins animés & séries enfants,Bob the Builder,Bob le Bricoleur,,Can We Fix It?,MEDIUM
Génériques dessins animés & séries enfants,PJ Masks,Pyjamasques,,PJ Masks Theme,EASY
Génériques dessins animés & séries enfants,Octonauts,Octonauts,,Octonauts Theme,MEDIUM
Génériques dessins animés & séries enfants,Miraculous: Tales of Ladybug & Cat Noir,Miraculous|Ladybug,,Miraculous Theme,EASY
Génériques dessins animés & séries enfants,My Little Pony: Friendship Is Magic,Mon petit poney,,My Little Pony Theme,MEDIUM
Génériques dessins animés & séries enfants,Thomas & Friends,Thomas et ses amis|Thomas le petit train,,Thomas & Friends Theme,MEDIUM
Génériques dessins animés & séries enfants,Sonic X,Sonic,,Sonic X Theme,HARD
Génériques dessins animés & séries enfants,Yo-kai Watch,Yo-kai Watch,,Yo-kai Watch Theme,HARD
Génériques dessins animés & séries enfants,CoComelon,CoComelon,,Wheels on the Bus,EASY
Génériques dessins animés & séries enfants,CoComelon,CoComelon,,Bath Song,MEDIUM
Génériques dessins animés & séries enfants,Gabby's Dollhouse,Gabby et la maison magique,,Gabby's Dollhouse Theme,MEDIUM
Génériques dessins animés & séries enfants,She-Ra and the Princesses of Power,She-Ra et les princesses au pouvoir,,She-Ra Theme,HARD
Génériques dessins animés & séries enfants,Hilda,Hilda,,Hilda Theme,HARD
Génériques dessins animés & séries enfants,Carmen Sandiego,Carmen Sandiego,,Carmen Sandiego Theme,HARD
Génériques dessins animés & séries enfants,Kipo and the Age of Wonderbeasts,Kipo et l'âge des animonstres,,Kipo Theme,HARD
Génériques dessins animés & séries enfants,The Dragon Prince,Le Prince des dragons,,The Dragon Prince Theme,HARD
Génériques dessins animés & séries enfants,Trollhunters,Chasseurs de Trolls,,Trollhunters Theme,HARD
Génériques dessins animés & séries enfants,Centaurworld,Centaurworld,,Centaurworld Theme,HARD
Génériques dessins animés & séries enfants,Over the Moon,Au-delà de la Lune,Cathy Ang,Rocket to the Moon,HARD
Génériques dessins animés & séries enfants,Over the Moon,Au-delà de la Lune,Phillipa Soo,Ultraluminary,HARD
Génériques dessins animés & séries enfants,Spirit Riding Free,Spirit : Au galop en toute liberté,,Spirit Riding Free Theme,HARD
Génériques dessins animés & séries enfants,The Boss Baby: Back in Business,Baby Boss : les affaires reprennent,,Boss Baby Theme,HARD
Génériques dessins animés & séries enfants,Beat Bugs,Beat Bugs,,Come Together,HARD
Génériques dessins animés & séries enfants,Super Monsters,Les Petits Monstres,,Super Monsters Theme,HARD
Génériques dessins animés & séries enfants,Ask the StoryBots,Les StoryBots,,Outer Space,HARD
Génériques dessins animés & séries enfants,Waffles + Mochi,Waffles + Mochi,,Waffles + Mochi Theme,HARD
Génériques dessins animés & séries enfants,Ridley Jones,Ridley Jones : la gardienne du musée,,Ridley Jones Theme,HARD
Génériques dessins animés & séries enfants,The Last Kids on Earth,Les Derniers Enfants sur Terre,,The Last Kids on Earth Theme,HARD
Génériques dessins animés & séries enfants,Jurassic World: Camp Cretaceous,Jurassic World : la colo du Crétacé,,Camp Cretaceous Theme,HARD
Génériques dessins animés & séries enfants,Klaus,Klaus,Zara Larsson,Invisible,MEDIUM
Génériques dessins animés & séries enfants,Word Party,Word Party,,Word Party Theme,HARD
Génériques dessins animés & séries enfants,Trolls,Les Trolls,Justin Timberlake,Can't Stop the Feeling!,EASY
