playlist,artist,title,level
Boys & Girls Bands,Spice Girls,Say You'll Be There,MEDIUM
Boys & Girls Bands,Spice Girls,2 Become 1,MEDIUM
Boys & Girls Bands,Spice Girls,Stop,MEDIUM
Boys & Girls Bands,Spice Girls,Spice Up Your Life,EASY
Boys & Girls Bands,Spice Girls,Viva Forever,MEDIUM
Boys & Girls Bands,Backstreet Boys,Everybody (Backstreet's Back),EASY
Boys & Girls Bands,Backstreet Boys,I Want It That Way,EASY
Boys & Girls Bands,Backstreet Boys,As Long as You Love Me,MEDIUM
Boys & Girls Bands,Backstreet Boys,Larger Than Life,MEDIUM
Boys & Girls Bands,Backstreet Boys,Quit Playing Games (with My Heart),MEDIUM
Boys & Girls Bands,*NSYNC,Bye Bye Bye,EASY
Boys & Girls Bands,*NSYNC,It's Gonna Be Me,MEDIUM
Boys & Girls Bands,*NSYNC,Tearin' Up My Heart,MEDIUM
Boys & Girls Bands,*NSYNC,Pop,MEDIUM
Boys & Girls Bands,Take That,Back for Good,EASY
Boys & Girls Bands,Take That,Never Forget,MEDIUM
Boys & Girls Bands,Take That,Relight My Fire,MEDIUM
Boys & Girls Bands,Take That,Patience,MEDIUM
Boys & Girls Bands,Take That,Shine,MEDIUM
Boys & Girls Bands,Boyzone,No Matter What,MEDIUM
Boys & Girls Bands,Boyzone,Words,MEDIUM
Boys & Girls Bands,Westlife,Flying Without Wings,MEDIUM
Boys & Girls Bands,Westlife,Swear It Again,MEDIUM
Boys & Girls Bands,Westlife,Uptown Girl,MEDIUM
Boys & Girls Bands,Westlife,My Love,MEDIUM
Boys & Girls Bands,Five,Everybody Get Up,MEDIUM
Boys & Girls Bands,Five,Keep On Movin',MEDIUM
Boys & Girls Bands,Five,If Ya Gettin' Down,HARD
Boys & Girls Bands,S Club 7,Reach,MEDIUM
Boys & Girls Bands,S Club 7,Don't Stop Movin',MEDIUM
Boys & Girls Bands,S Club 7,Bring It All Back,MEDIUM
Boys & Girls Bands,Destiny's Child,Say My Name,EASY
Boys & Girls Bands,Destiny's Child,Survivor,EASY
Boys & Girls Bands,Destiny's Child,Independent Women,EASY
Boys & Girls Bands,Destiny's Child,Bootylicious,MEDIUM
Boys & Girls Bands,Destiny's Child,Jumpin' Jumpin',MEDIUM
Boys & Girls Bands,TLC,No Scrubs,EASY
Boys & Girls Bands,TLC,Waterfalls,EASY
Boys & Girls Bands,TLC,Creep,MEDIUM
Boys & Girls Bands,TLC,Unpretty,MEDIUM
Boys & Girls Bands,All Saints,Never Ever,MEDIUM
Boys & Girls Bands,All Saints,Pure Shores,MEDIUM
Boys & Girls Bands,Sugababes,Push the Button,MEDIUM
Boys & Girls Bands,Sugababes,About You Now,MEDIUM
Boys & Girls Bands,Girls Aloud,Sound of the Underground,MEDIUM
Boys & Girls Bands,Girls Aloud,The Promise,MEDIUM
Boys & Girls Bands,Atomic Kitten,Whole Again,MEDIUM
Boys & Girls Bands,Atomic Kitten,Eternal Flame,MEDIUM
Boys & Girls Bands,B*Witched,C'est la Vie,MEDIUM
Boys & Girls Bands,Steps,"5,6,7,8",MEDIUM
Boys & Girls Bands,Steps,Tragedy,MEDIUM
Boys & Girls Bands,Steps,One for Sorrow,HARD
Boys & Girls Bands,Hanson,MMMBop,EASY
Boys & Girls Bands,New Kids on the Block,Step by Step,MEDIUM
Boys & Girls Bands,New Kids on the Block,You Got It (The Right Stuff),MEDIUM
Boys & Girls Bands,Boyz II Men,End of the Road,MEDIUM
Boys & Girls Bands,Boyz II Men,I'll Make Love to You,MEDIUM
Boys & Girls Bands,En Vogue,Don't Let Go (Love),MEDIUM
Boys & Girls Bands,Salt-N-Pepa,Push It,EASY
Boys & Girls Bands,Salt-N-Pepa,Whatta Man,MEDIUM
Boys & Girls Bands,En Vogue,Free Your Mind,HARD
Boys & Girls Bands,Eternal,Stay,HARD
Boys & Girls Bands,2 Be 3,Partir un jour,MEDIUM
Boys & Girls Bands,Worlds Apart,Quand je rêve de toi,MEDIUM
Boys & Girls Bands,G-Squad,Une seule vie,HARD
Boys & Girls Bands,Alliage,Te garder près de moi,HARD
Boys & Girls Bands,Pow woW,Le Lion est mort ce soir,MEDIUM
Boys & Girls Bands,Les Worlds Apart,Baby on n'oublie pas,HARD
Boys & Girls Bands,L5,Toutes les femmes de ta vie,MEDIUM
Boys & Girls Bands,Star Academy,La Musique,MEDIUM
Boys & Girls Bands,One Direction,What Makes You Beautiful,EASY
Boys & Girls Bands,One Direction,Story of My Life,EASY
Boys & Girls Bands,One Direction,Best Song Ever,MEDIUM
Boys & Girls Bands,One Direction,Drag Me Down,MEDIUM
Boys & Girls Bands,Jonas Brothers,Sucker,EASY
Boys & Girls Bands,Little Mix,Black Magic,MEDIUM
Boys & Girls Bands,Little Mix,Shout Out to My Ex,MEDIUM
Boys & Girls Bands,Fifth Harmony,Work from Home,MEDIUM
Boys & Girls Bands,BTS,Dynamite,EASY
Boys & Girls Bands,Pussycat Dolls,Don't Cha,EASY
Latino Fiesta,Luis Fonsi,Despacito,EASY
Latino Fiesta,Daddy Yankee,Gasolina,EASY
Latino Fiesta,Don Omar,Danza Kuduro,EASY
Latino Fiesta,Enrique Iglesias,Bailando,EASY
Latino Fiesta,Shakira,Hips Don't Lie,EASY
Latino Fiesta,Shakira,Waka Waka (This Time for Africa),EASY
Latino Fiesta,Shakira,"Whenever, Wherever",EASY
Latino Fiesta,Shakira,La Tortura,MEDIUM
Latino Fiesta,Ricky Martin,Livin' la Vida Loca,EASY
Latino Fiesta,Ricky Martin,María,MEDIUM
Latino Fiesta,Ricky Martin,La Copa de la Vida,MEDIUM
Latino Fiesta,Marc Anthony,Vivir Mi Vida,EASY
Latino Fiesta,Marc Anthony,Valió la Pena,MEDIUM
Latino Fiesta,Juanes,La Camisa Negra,EASY
Latino Fiesta,Juanes,A Dios le Pido,MEDIUM
Latino Fiesta,Manu Chao,Me Gustas Tú,EASY
Latino Fiesta,Manu Chao,Bongo Bong,MEDIUM
Latino Fiesta,Gipsy Kings,Bamboléo,EASY
Latino Fiesta,Gipsy Kings,Volare,MEDIUM
Latino Fiesta,Los del Río,Macarena,EASY
Latino Fiesta,Las Ketchup,Aserejé,EASY
Latino Fiesta,Carlos Santana,Smooth,EASY
Latino Fiesta,Carlos Santana,Maria Maria,MEDIUM
Latino Fiesta,Lou Bega,Mambo No. 5,EASY
Latino Fiesta,Chayanne,Torero,MEDIUM
Latino Fiesta,Chayanne,Salomé,MEDIUM
Latino Fiesta,Thalía,Arrasando,HARD
Latino Fiesta,Paulina Rubio,Ni una sola palabra,MEDIUM
Latino Fiesta,Pitbull,Give Me Everything,EASY
Latino Fiesta,Pitbull,I Know You Want Me (Calle Ocho),EASY
Latino Fiesta,Pitbull,Timber,EASY
Latino Fiesta,J Balvin,Mi Gente,EASY
Latino Fiesta,J Balvin,Ginza,MEDIUM
Latino Fiesta,Nicky Jam,El Perdón,MEDIUM
Latino Fiesta,Maluma,Felices los 4,MEDIUM
Latino Fiesta,Maluma,Hawái,MEDIUM
Latino Fiesta,Ozuna,Taki Taki,MEDIUM
Latino Fiesta,Karol G,Tusa,EASY
Latino Fiesta,Karol G,Bichota,MEDIUM
Latino Fiesta,Bad Bunny,Tití Me Preguntó,MEDIUM
Latino Fiesta,Bad Bunny,Dakiti,MEDIUM
Latino Fiesta,Rosalía,Despechá,MEDIUM
Latino Fiesta,CNCO,Reggaetón Lento,MEDIUM
Latino Fiesta,Wisin & Yandel,Rakata,HARD
Latino Fiesta,Tego Calderón,Pa' que retozen,HARD
Latino Fiesta,Sean Paul,Temperature,EASY
Latino Fiesta,Sean Paul,Get Busy,EASY
Latino Fiesta,Magic!,Rude,EASY
Latino Fiesta,OMI,Cheerleader,EASY
Latino Fiesta,Luis Fonsi,Échame la Culpa,MEDIUM
Latino Fiesta,Camila Cabello,Havana,EASY
Latino Fiesta,Jennifer Lopez,On the Floor,EASY
Latino Fiesta,Jennifer Lopez,Waiting for Tonight,MEDIUM
Latino Fiesta,Jennifer Lopez,Let's Get Loud,MEDIUM
Latino Fiesta,Gloria Estefan,Conga,MEDIUM
Latino Fiesta,Gloria Estefan,Rhythm Is Gonna Get You,MEDIUM
Latino Fiesta,Buena Vista Social Club,Chan Chan,MEDIUM
Latino Fiesta,Compay Segundo,Chan Chan,HARD
Latino Fiesta,Celia Cruz,La Vida Es un Carnaval,MEDIUM
Latino Fiesta,Aventura,Obsesión,MEDIUM
Latino Fiesta,Romeo Santos,Propuesta Indecente,MEDIUM
Latino Fiesta,Prince Royce,Darte un Beso,MEDIUM
Latino Fiesta,Álvaro Soler,Sofia,EASY
Latino Fiesta,Álvaro Soler,El Mismo Sol,MEDIUM
Latino Fiesta,Jesse & Joy,Corre,HARD
Latino Fiesta,Maná,Rayando el Sol,MEDIUM
Latino Fiesta,Maná,Oye Mi Amor,MEDIUM
Latino Fiesta,Café Tacvba,Eres,HARD
Latino Fiesta,Bomba Estéreo,Soy Yo,HARD
Latino Fiesta,Mr. Vegas,Bruk It Down,HARD
Latino Fiesta,Inna,Hot,MEDIUM
Latino Fiesta,Loona,Bailando,MEDIUM
Latino Fiesta,King Africa,La Bomba,MEDIUM
Latino Fiesta,Las Ketchup,Kusha Las Payas,HARD
Latino Fiesta,Sergio Mendes,Mas que Nada,MEDIUM
Latino Fiesta,Bellini,Samba de Janeiro,EASY
Latino Fiesta,Daddy Yankee,Limbo,MEDIUM
Latino Fiesta,Luis Fonsi,Calypso,HARD
Pop Divas,Madonna,Like a Prayer,EASY
Pop Divas,Madonna,Material Girl,EASY
Pop Divas,Madonna,Vogue,EASY
Pop Divas,Madonna,Hung Up,EASY
Pop Divas,Madonna,La Isla Bonita,EASY
Pop Divas,Madonna,Music,MEDIUM
Pop Divas,Whitney Houston,I Wanna Dance with Somebody,EASY
Pop Divas,Whitney Houston,I Will Always Love You,EASY
Pop Divas,Whitney Houston,How Will I Know,MEDIUM
Pop Divas,Mariah Carey,All I Want for Christmas Is You,EASY
Pop Divas,Mariah Carey,Without You,MEDIUM
Pop Divas,Mariah Carey,Hero,MEDIUM
Pop Divas,Mariah Carey,Fantasy,MEDIUM
Pop Divas,Celine Dion,My Heart Will Go On,EASY
Pop Divas,Celine Dion,It's All Coming Back to Me Now,MEDIUM
Pop Divas,Celine Dion,Pour que tu m'aimes encore,EASY
Pop Divas,Britney Spears,...Baby One More Time,EASY
Pop Divas,Britney Spears,Toxic,EASY
Pop Divas,Britney Spears,Oops!... I Did It Again,EASY
Pop Divas,Britney Spears,Womanizer,MEDIUM
Pop Divas,Britney Spears,Gimme More,MEDIUM
Pop Divas,Christina Aguilera,Genie in a Bottle,EASY
Pop Divas,Christina Aguilera,Beautiful,EASY
Pop Divas,Christina Aguilera,Dirrty,MEDIUM
Pop Divas,Christina Aguilera,Ain't No Other Man,MEDIUM
Pop Divas,Beyoncé,Single Ladies,EASY
Pop Divas,Beyoncé,Crazy in Love,EASY
Pop Divas,Beyoncé,Halo,EASY
Pop Divas,Beyoncé,If I Were a Boy,MEDIUM
Pop Divas,Beyoncé,Run the World (Girls),MEDIUM
Pop Divas,Rihanna,Umbrella,EASY
Pop Divas,Rihanna,Diamonds,EASY
Pop Divas,Rihanna,We Found Love,EASY
Pop Divas,Rihanna,Don't Stop the Music,EASY
Pop Divas,Rihanna,Only Girl (In the World),MEDIUM
Pop Divas,Rihanna,Work,MEDIUM
Pop Divas,Lady Gaga,Poker Face,EASY
Pop Divas,Lady Gaga,Bad Romance,EASY
Pop Divas,Lady Gaga,Just Dance,EASY
Pop Divas,Lady Gaga,Born This Way,MEDIUM
Pop Divas,Lady Gaga,Shallow,EASY
Pop Divas,Katy Perry,Firework,EASY
Pop Divas,Katy Perry,Roar,EASY
Pop Divas,Katy Perry,Hot n Cold,EASY
Pop Divas,Katy Perry,California Gurls,EASY
Pop Divas,Katy Perry,I Kissed a Girl,EASY
Pop Divas,Katy Perry,Dark Horse,MEDIUM
Pop Divas,Taylor Swift,Shake It Off,EASY
Pop Divas,Taylor Swift,Blank Space,EASY
Pop Divas,Taylor Swift,Love Story,EASY
Pop Divas,Taylor Swift,Anti-Hero,MEDIUM
Pop Divas,Adele,Rolling in the Deep,EASY
Pop Divas,Adele,Someone Like You,EASY
Pop Divas,Adele,Hello,EASY
Pop Divas,Adele,Set Fire to the Rain,MEDIUM
Pop Divas,Dua Lipa,New Rules,EASY
Pop Divas,Dua Lipa,Levitating,EASY
Pop Divas,Dua Lipa,Don't Start Now,EASY
Pop Divas,Dua Lipa,One Kiss,MEDIUM
Pop Divas,Ariana Grande,"Thank U, Next",EASY
Pop Divas,Ariana Grande,7 Rings,EASY
Pop Divas,Ariana Grande,Problem,MEDIUM
Pop Divas,Pink,Just Give Me a Reason,EASY
Pop Divas,Pink,So What,EASY
Pop Divas,Pink,Raise Your Glass,MEDIUM
Pop Divas,Pink,Get the Party Started,MEDIUM
Pop Divas,Kylie Minogue,Can't Get You Out of My Head,EASY
Pop Divas,Kylie Minogue,Spinning Around,MEDIUM
Pop Divas,Gwen Stefani,Hollaback Girl,MEDIUM
Pop Divas,Nelly Furtado,Maneater,MEDIUM
Pop Divas,Nelly Furtado,Say It Right,MEDIUM
Pop Divas,Alicia Keys,No One,EASY
Pop Divas,Alicia Keys,Empire State of Mind (Part II),MEDIUM
Pop Divas,Amy Winehouse,Rehab,EASY
Pop Divas,Amy Winehouse,Valerie,MEDIUM
Pop Divas,Cher,Believe,EASY
Pop Divas,Sia,Chandelier,EASY
Pop Divas,Sia,Cheap Thrills,EASY
Pop Divas,Billie Eilish,Bad Guy,EASY
Pop Divas,Lizzo,About Damn Time,MEDIUM
Chanson française culte,France Gall,"Ella, elle l'a",EASY
Chanson française culte,France Gall,Résiste,EASY
Chanson française culte,Jean-Jacques Goldman,Quand la musique est bonne,EASY
Chanson française culte,Jean-Jacques Goldman,Je te donne,EASY
Chanson française culte,Jean-Jacques Goldman,Encore un matin,MEDIUM
Chanson française culte,Jean-Jacques Goldman,Comme toi,MEDIUM
Chanson française culte,Daniel Balavoine,L'Aziza,EASY
Chanson française culte,Daniel Balavoine,Mon fils ma bataille,MEDIUM
Chanson française culte,Michel Sardou,Les Lacs du Connemara,EASY
Chanson française culte,Michel Sardou,La Maladie d'amour,MEDIUM
Chanson française culte,Michel Sardou,En chantant,MEDIUM
Chanson française culte,Joe Dassin,Les Champs-Élysées,EASY
Chanson française culte,Joe Dassin,L'Été indien,EASY
Chanson française culte,Joe Dassin,Et si tu n'existais pas,MEDIUM
Chanson française culte,Claude François,Alexandrie Alexandra,EASY
Chanson française culte,Claude François,Cette année-là,EASY
Chanson française culte,Claude François,Le Téléphone pleure,MEDIUM
Chanson française culte,Dalida,"Paroles, paroles",MEDIUM
Chanson française culte,Dalida,Gigi l'Amoroso,MEDIUM
Chanson française culte,Michel Berger,La Groupie du pianiste,MEDIUM
Chanson française culte,Téléphone,Ça (c'est vraiment toi),MEDIUM
Chanson française culte,Téléphone,Cendrillon,EASY
Chanson française culte,Téléphone,Un autre monde,MEDIUM
Chanson française culte,Indochine,L'Aventurier,EASY
Chanson française culte,Indochine,J'ai demandé à la lune,EASY
Chanson française culte,Indochine,Trois nuits par semaine,MEDIUM
Chanson française culte,Jean-Patrick Capdevielle,Quand t'es dans le désert,HARD
Chanson française culte,Niagara,Tu m'fais planer,MEDIUM
Chanson française culte,Niagara,Pendant que les champs brûlent,MEDIUM
Chanson française culte,Rita Mitsouko,Marcia Baila,MEDIUM
Chanson française culte,Rita Mitsouko,Les Histoires d'A,MEDIUM
Chanson française culte,Étienne Daho,Week-end à Rome,MEDIUM
Chanson française culte,Mylène Farmer,Désenchantée,EASY
Chanson française culte,Mylène Farmer,Sans contrefaçon,MEDIUM
Chanson française culte,Mylène Farmer,Pourvu qu'elles soient douces,HARD
Chanson française culte,Jean-Jacques Goldman,Là-bas,MEDIUM
Chanson française culte,Patrick Bruel,Casser la voix,EASY
Chanson française culte,Patrick Bruel,Place des grands hommes,MEDIUM
Chanson française culte,Francis Cabrel,Petite Marie,MEDIUM
Chanson française culte,Francis Cabrel,La Corrida,MEDIUM
Chanson française culte,Francis Cabrel,Je l'aime à mourir,EASY
Chanson française culte,Renaud,Mistral gagnant,EASY
Chanson française culte,Renaud,Dès que le vent soufflera,MEDIUM
Chanson française culte,Renaud,Manhattan-Kaboul,MEDIUM
Chanson française culte,Alain Souchon,Foule sentimentale,MEDIUM
Chanson française culte,Alain Souchon,Allô maman bobo,MEDIUM
Chanson française culte,Laurent Voulzy,Le Cœur grenadine,MEDIUM
Chanson française culte,Laurent Voulzy,Belle-Île-en-Mer,MEDIUM
Chanson française culte,Véronique Sanson,Amoureuse,MEDIUM
Chanson française culte,Michel Polnareff,Goûte ma douleur,HARD
Chanson française culte,Michel Polnareff,On ira tous au paradis,EASY
Chanson française culte,Michel Polnareff,Lettre à France,MEDIUM
Chanson française culte,Serge Gainsbourg,La Javanaise,MEDIUM
Chanson française culte,Serge Gainsbourg,Je t'aime... moi non plus,MEDIUM
Chanson française culte,Jacques Dutronc,"Et moi, et moi, et moi",MEDIUM
Chanson française culte,Jacques Dutronc,Les Cactus,MEDIUM
Chanson française culte,Charles Aznavour,La Bohème,EASY
Chanson française culte,Charles Aznavour,For Me Formidable,MEDIUM
Chanson française culte,Édith Piaf,La Vie en rose,EASY
Chanson française culte,Édith Piaf,"Non, je ne regrette rien",EASY
Chanson française culte,Johnny Hallyday,Allumer le feu,EASY
Chanson française culte,Johnny Hallyday,Que je t'aime,MEDIUM
Chanson française culte,Johnny Hallyday,L'Envie,MEDIUM
Chanson française culte,Eddy Mitchell,La Dernière Séance,MEDIUM
Chanson française culte,Michel Fugain,Une belle histoire,EASY
Chanson française culte,Gérard Lenorman,La Ballade des gens heureux,MEDIUM
Chanson française culte,Pierre Bachelet,Les Corons,MEDIUM
Chanson française culte,Frédéric François,Je t'aime à l'italienne,HARD
Chanson française culte,Jeanne Mas,En rouge et noir,MEDIUM
Chanson française culte,Lio,Amoureux solitaires,MEDIUM
Chanson française culte,Desireless,"Voyage, voyage",EASY
Chanson française culte,Images,Les Démons de minuit,EASY
Chanson française culte,Début de Soirée,Nuit de folie,EASY
Chanson française culte,Partenaire Particulier,Partenaire Particulier,MEDIUM
Chanson française culte,Cookie Dingler,Femme libérée,MEDIUM
Chanson française culte,Jean-Luc Lahaye,Femme que j'aime,HARD
Chanson française culte,Émile et Images,Les Démons de minuit,HARD
Chanson française culte,Gold,Un peu plus près des étoiles,MEDIUM
Chanson française culte,Vanessa Paradis,Joe le taxi,EASY
Chanson française culte,Elsa,T'en va pas,MEDIUM
