youtube_id	yt_title	yt_channel	catalog_artist	catalog_title	verdict	playable	reason	n_tracks
o01l3sotf1Q	We Don't Talk About Bruno (From "Encanto"/Audio Only)	DisneyMusicVEVO	Encanto Cast	We Don't Talk About Bruno	ok	Y		1
ekUQpDDBzY4	Henri Salvador - Une Chanson Douce (Le Loup, La Biche Et Le Chevalier ) (Audio officiel)	100% Chanson Française	Henri Salvador	Une chanson douce (Le loup, la biche et le chevalier)	ok	Y		1
fI569nw0YUQ	Cheryl Lynn - Got To Be Real (Official Audio)	CherylLynnVEVO	Cheryl Lynn	Got to Be Real	ok	Y		2
3iDxU9eNQ_0	Miguel - Remember Me (Dúo) (From "Coco"/Official Lyric Video) ft. Natalia Lafourcade	DisneyMusicVEVO	Miguel, Natalia Lafourcade	Remember Me	ok	Y		1
6F29JppmaaQ	Jerry Orbach Sings "Be Our Guest"	Allison Preston	Jerry Orbach, Angela Lansbury	Be Our Guest	ok	Y		1
ZmDBbnmKpqQ	Olivia Rodrigo - drivers license (Official Video)	OliviaRodrigoVEVO	Olivia Rodrigo	Drivers License	ok	Y		5
r7Oy0BOGxDM	Niska - Réseaux (Audio)	Album Rap Francais (HD)	Niska	Réseaux	ok	Y		3
dGghkjpNCQ8	Calvin Harris - Feel So Close (Official Video)	CalvinHarrisVEVO	Calvin Harris	Feel So Close	ok	Y		3
EbfL4kjiGOc	Michel Sardou - Je vais t'aimer (Official Lyrics Video)	Michel Sardou	Michel Sardou	Je vais t'aimer	ok	Y		2
esw1O9FJ-ik	Je voudrais déjà être roi | Le Roi Lion 2019	thepromptcrafterAI	Le Roi Lion (cast français)	Je voudrais déjà être roi	artist_mismatch	Y		1
RNprQYHenNI	Christina Aguilera - Reflection (2020) (From "Mulan")	DisneyMusicVEVO	Mulan (cast français)	Réflexion	ok	Y		3
3xBQSkc2dc8	LIANE FOLY / CHARLES AZNAVOUR - clip "La Belle et la Bête" (1992)	LianeFolyOfficiel	Liane Foly	Histoire éternelle	title_mismatch	Y		1
J5i2Dj5YO3Q	Donna Summer - No More Tears (Enough Is Enough) (Duet With Barbra Streisand)	ALPHA BETA	Donna Summer & Barbra Streisand	No More Tears	ok	Y		1
Gm3nVrFol_Q	MULAN - Comme un homme	La Chaîne Disney	Mulan (cast français)	Comme un homme	ok	Y		2
17vFHKwq8B8	J.J. LIONEL - La danse des canards	FLEED	JJ Lionel	La danse des canards	ok	Y		1
kTJczUoc26U	The Kid LAROI, Justin Bieber - STAY (Official Video)	TheKidLAROIVEVO	The Kid LAROI & Justin Bieber	Stay	ok	Y		5
kJQP7kiw5Fk	Luis Fonsi - Despacito ft. Daddy Yankee	LuisFonsiVEVO	Luis Fonsi ft. Daddy Yankee	Despacito	ok	Y		11
gNi_6U5Pm_o	Olivia Rodrigo - good 4 u (Official Video)	OliviaRodrigoVEVO	Olivia Rodrigo	good 4 u	ok	Y		4
l482T0yNkeo	AC/DC - Highway to Hell (Official Video)	acdcVEVO	AC/DC	Highway to Hell	ok	Y		7
m5qXr9lLdwA	Christophe Maé - Il est où le bonheur (Clip officiel)	CHRISTOPHE MAÉ	Christophe Maé	Il est où le bonheur	ok	Y		2
izGwDsrQ1eQ	George Michael - Careless Whisper (Official Video)	georgemichaelVEVO	George Michael	Careless Whisper	ok	Y		8
8EJ3zbKTWQ8	Justin Bieber - Yummy (Official Video)	JustinBieberVEVO	Justin Bieber	Yummy	ok	Y		2
IbRtGMm96F8	Elton John - Step Into Christmas	EltonJohnVEVO	Elton John	Step into Christmas	ok	Y		1
vynvegQ9Ecw	Married Life - Up Soundtrack - Michael Giacchino (Extended) - Sleep | Study | Relax	Piano Pill 	Michael Giacchino	Married Life (Up)	ok	N	not_embeddable	2
SkypZuY6ZvA	Bee Gees - Night Fever	BeeGeesVEVO	Bee Gees	Night Fever	ok	Y		2
9LCZzltHSDk	Yves Duteil - La langue de chez nous	Radio Cassette	Yves Duteil	La langue de chez nous	ok	Y		2
j0lSpNtjPM8	Papa Roach - Last Resort (Squeaky Clean Version) (Official Music Video)	PapaRoachVEVO	Papa Roach	Last Resort	ok	Y		5
_ovdm2yX4MA	Avicii - Levels	AviciiOfficialVEVO	Avicii	Levels	ok	Y		3
1y6smkh6c-0	Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)	SHMVEVO	Swedish House Mafia ft. John Martin	Don't You Worry Child	ok	Y		3
X4bgXH3sJ2Q	Iron Maiden - The Trooper (Official Video)	Iron Maiden	Iron Maiden	The Trooper	ok	Y		3
WHuBW3qKm9g	Dua Lipa - Levitating (Official Lyrics Video)	Dua Lipa	Dua Lipa	Levitating	ok	Y		3
pok8H_KF1FA	Doja Cat - Say So (Official Video)	dojacatVEVO	Doja Cat	Say So	ok	Y		6
NATTi6tU1ZA	Tiziano Ferro - Perdono (French Version) (Official Video)	TizianoFerroVEVO	Tiziano Ferro	Perdono	ok	Y		1
cR2XilcGYOo	Skrillex - Bangarang (Ft. Sirah) [Official Audio]	Skrillex	Skrillex	Bangarang	ok	Y		1
ZwhIlF25Gro	Henri Dès raconte - Le Petit Poucet-histoire pour enfants	HenriDesTV	Henri Dès	La poulette	title_mismatch	Y		1
8xPJ6dwofUw	Swedish House Mafia - Save The World (Audio)	CheshireCatVEVO	Swedish House Mafia	Save the World	ok	Y		1
tKi9Z-f6qX4	deadmau5 - Strobe	deadmau5	deadmau5	Strobe	ok	Y		1
fV8vB1BB2qc	Boyz II Men - I'll Make Love To You (Official Music Video)	BoyzIIMenVEVO	Boyz II Men	I'll Make Love to You	ok	Y		7
7hHHAm9_a_M	Yannick Noah - Angela (Clip officiel)	yannicknoahVEVO	Yannick Noah	Angela	ok	Y		1
MhLg9Lkhqbc	Aldebert - Plus tard quand tu seras grand [Video Lyrics]	aldebertVEVO	Aldebert	Plus tard quand tu seras grand	ok	Y		1
wnJ6LuUFpMo	J Balvin, Willy William - Mi Gente (Official Video)	jbalvinVEVO	J Balvin, Willy William	Mi Gente	ok	Y		3
CCF1_jI8Prk	Daddy Yankee - Gasolina (Video Oficial)	Daddy Yankee	Daddy Yankee	Gasolina	ok	Y		6
PEM0Vs8jf1w	JVKE - golden hour (official music video)	JVKE	JVKE	Golden Hour	ok	Y		3
q5TeDlawdz0	Ruslana - Wild Dances (Lyrics)	Aqua Lyrics	Ruslana	Wild Dances	ok	Y		1
Z97ZukL-kW4	Boby Lapointe - La Maman des poissons (Audio Officiel)	Boby Lapointe	Boby Lapointe	La maman des poissons	ok	Y		1
8QSgNM9yNjo	Lena - Satellite - Germany 🇩🇪 Official Music Video - Eurovision 2010	Eurovision Song Contest	Lena	Satellite	ok	Y		1
kPa7bsKwL-c	Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)	LadyGagaVEVO	Lady Gaga & Bruno Mars	Die With A Smile	ok	Y		3
aIl23kwFUqM	TLC - Waterfalls (Audio)	CrazySexyCool	TLC	Waterfalls	ok	Y		1
ZrJmZwARXE8	Mon âne blanc	Les Arts de la Parole	Anne Sylvestre	Mon âne	artist_mismatch	Y		1
mcssw3utx7o	ABBA - Waterloo (Official Lyric Video)	AbbaVEVO	ABBA	Waterloo	ok	Y		4
oR4uKcvQbGQ	Boston - More Than A Feeling (HQ)	The Match Me Podcast	Boston	More Than a Feeling	ok	N	blocked_FR	10
47dtFZ8CFo8	Capital Cities - Safe And Sound	CapitalCitiesVEVO	Capital Cities	Safe and Sound	ok	Y		5
WGU_4-5RaxU	Blondie - Heart Of Glass	BlondieVEVO	Blondie	Heart of Glass	ok	Y		9
e-ORhEE9VVg	Taylor Swift - Blank Space	Taylor Swift	Taylor Swift	Blank Space	ok	Y		5
auLBLk4ibAk	Rush - Tom Sawyer	RushVEVO	Rush	Tom Sawyer	ok	Y		3
7LLzPPFc21o	Yes - Owner of a Lonely Heart (HQ)	Ben Hobson	Yes	Owner of a Lonely Heart	ok	Y		2
YkADj0TPrJA	Phil Collins - In The Air Tonight (Official Music Video)	Phil Collins	Phil Collins	In the Air Tonight	ok	Y		7
aGCdLKXNF3w	Tears For Fears - Everybody Wants To Rule The World (Official Music Video)	TearsForFearsVEVO	Tears for Fears	Everybody Wants to Rule the World	ok	Y		6
5Q1a9oQhkyU	FIFTY FIFTY - Cupid (Twin Ver.)『Audio』	Goojin	FIFTY FIFTY	Cupid	ok	Y		1
DeumyOzKqgI	Adele - Skyfall (Official Lyric Video)	AdeleVEVO	Adele	Skyfall	ok	Y		6
oiosqtFLBBA	Fleetwood Mac - Go Your Own Way (Official Audio)	Fleetwood Mac	Fleetwood Mac	Go Your Own Way	ok	Y		3
juQl2UbcD7w	Olive et Tom - Générique Officiel	Olive et Tom | Officiel	Bernard Minet	Olive et Tom	artist_mismatch	Y		1
HQmmM_qwG4k	Led Zeppelin - Whole Lotta Love (Official Music Video)	Led Zeppelin	Led Zeppelin	Whole Lotta Love	ok	Y		5
D9G1VOjN_84	Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends)	ImagineDragonsVEVO	Imagine Dragons & JID	Enemy	ok	Y		4
7zp1TbLFPp8	Don Omar - Danza Kuduro ft. Lucenzo	DonOmarVEVO	Don Omar	Danza Kuduro	ok	N	not_in_allowed_regions	7
Ye7FKc1JQe4	Tears For Fears - Shout (Official Music Video)	TearsForFearsVEVO	Tears for Fears	Shout	ok	Y		7
ixkoVwKQaJg	DJ Snake - Taki Taki ft. Selena Gomez, Ozuna, Cardi B (Official Music Video)	DJSnakeVEVO	DJ Snake ft. Selena Gomez, Ozuna, Cardi B	Taki Taki	ok	Y		7
SmbmeOgWsqE	Lizzo - Good As Hell (Video)	Lizzo Music	Lizzo	Good As Hell	ok	Y		2
XmIgg9De9hY	Avicii - The Nights (Audio)	AviciiOfficialVEVO	Avicii	The Nights	ok	Y		2
vCadcBR95oU	Salt-N-Pepa - Push It (Official Music Video)	SaltNPepaVEVO	Salt-N-Pepa	Push It	ok	Y		3
Ozq3NC0QR18	Noam • Goldorak (Goldorak Go !) (1978)	KaraTv	Noam	Goldorak Go!	ok	Y		1
9Hv6R2fEdfA	Georges Moustaki - Ma liberté (sous-titres en français)	Mª Teresa	Georges Moustaki	Ma Liberté	ok	Y		1
1UcwXsek3zg	Brokeback Mountain Theme - The Wings (Gabriel & Dresden's Organized Nature Remix)	Gustavo Santaolalla - Topic	Gustavo Santaolalla	The Wings (Brokeback Mountain)	ok	Y		2
MV_3Dpw-BRY	Kavinsky - Nightcall (Drive Original Movie Soundtrack) (Official Audio)	Record Makers	Kavinsky	Nightcall (Drive)	ok	Y		4
Dln3MeNrnkY	Hans Zimmer -  A Way of Life 432Hz ( The Last Samurai)  1 Hour	Red Pilled Neo	Hans Zimmer	A Way of Life (The Last Samurai)	ok	Y		2
3E-Zrg9CB_Q	TONI BASIL - Mickey	John Goodsall	Toni Basil	Mickey	ok	Y		2
CdqoNKCCt7A	Simple Minds - Don't You (Forget About Me)	SimpleMindsVEVO	Simple Minds	Don't You (Forget About Me)	ok	Y		11
PrZZfaDp02o	INXS - Need You Tonight	Mystify	INXS	Need You Tonight	ok	Y		3
TUVcZfQe-Kw	Dua Lipa - Levitating Featuring DaBaby (Official Music Video)	Dua Lipa	Dua Lipa	Levitating	ok	Y		5
uzurqBnALkw	Yann Tiersen - La Valse d'Amélie [Original]	vandrad	Yann Tiersen	La Valse d'Amélie	ok	Y		3
wCQfkEkePx8	Fools Garden - Lemon Tree (Official HD Video)	Fools Garden	Fool's Garden	Lemon Tree	ok	Y		1
EfVRQKKvlXc	1 Hour of Any Other Name From American Beauty - Thomas Newman (Cover Massimo Scalieri - Pat Matrone)	Massimo Scalieri Music	Thomas Newman	Any Other Name (American Beauty)	ok	Y		2
mRD0-GxqHVo	Glass Animals - Heat Waves (Official Video)	GlassAnimalsVEVO	Glass Animals	Heat Waves	ok	Y		7
gdZLi9oWNZg	BTS (방탄소년단) 'Dynamite' Official MV	HYBE LABELS	BTS	Dynamite	ok	Y		7
b1kbLwvqugk	Taylor Swift - Anti-Hero (Official Music Video)	Taylor Swift	Taylor Swift	Anti-Hero	ok	Y		6
ye5BuYf8q4o	Lynyrd Skynyrd - Sweet Home Alabama	ShawnxXxMichaels	Lynyrd Skynyrd	Sweet Home Alabama	ok	Y		8
MbXWrmQW-OE	The Police - Message In A Bottle (Official Music Video)	ThePoliceVEVO	The Police	Message in a Bottle	ok	Y		2
CnAmeh0-E-U	Jonas Brothers - Sucker (Official Video)	JonasBrothersVEVO	Jonas Brothers	Sucker	ok	Y		3
StKVS0eI85I	Blondie - Call me	BlondieVEVO	Blondie	Call Me	ok	Y		6
vsra2Rj06hw	Jacques Brel   Dans Le Port d'Amsterdam	chri816	Jacques Brel	Amsterdam	ok	Y		2
PDZcqBgCS74	Lionel Richie - Hello	jasoneric	Lionel Richie	Hello	ok	N	blocked_FR	4
epKBqRhebOc			Santa Esmeralda	Don't Let Me Be Misunderstood	removed	N	video_removed	1
WGP6ECozKy8	Darius Rucker-Wagon Wheel	Country Music Forever	Darius Rucker	Wagon Wheel	ok	Y		1
uv37yxc51bE	Renaud - Toujours debout (Clip officiel)	Renaud	Renaud	Encore une nuit	title_mismatch	Y		2
H5v3kku4y6Q	Harry Styles - As It Was (Official Video)	HarryStylesVEVO	Harry Styles	As It Was	ok	Y		7
9GkVhgIeGJQ	The Cure - Boys Don't Cry (Official Music Video) [HD]	TheCureVEVO	The Cure	Boys Don't Cry	ok	Y		2
cJRP3LRcUFg	The Smiths - This Charming Man (Official Music Video)	The Smiths	The Smiths	This Charming Man	ok	Y		4
3JWTaaS7LdU	Whitney Houston - I Will Always Love You (Official 4K Video)	whitneyhoustonVEVO	Whitney Houston	I Will Always Love You	ok	Y		15
R3jDPgpUN9k	Garou - Seul (Official Audio)	GarouVEVO	Garou	Seul	ok	Y		3
fVfnEyLOkrM	Charles Aznavour - La bohème (Official Lyrics Video)	AznavourVEVO	Charles Aznavour	La bohème	ok	Y		4
Y66j_BUCBMY	American Authors - Best Day Of My Life	AmericanAuthorsVEVO	American Authors	Best Day of My Life	ok	Y		4
XpqqjU7u5Yc	Bee Gees - How Deep Is Your Love (Official Video)	beegees	Bee Gees	How Deep Is Your Love	ok	Y		5
U3ASj1L6_sY	Adele - Easy On Me (Official Video)	AdeleVEVO	Adele	Easy On Me	ok	Y		4
Eh44QPT1mPE	Neil Young - Heart Of Gold	clydeman	Neil Young	Heart of Gold	ok	N	blocked_FR	3
WMweEpGlu_U	BTS (방탄소년단) 'Butter' Official MV	HYBE LABELS	BTS	Butter	ok	Y		5
qRcYjJQ0JHg	Black Sabbath - Iron Man (1970)	Beat-Club	Black Sabbath	Iron Man	ok	Y		4
YhQclI06QPw	Camille - Ta douleur (Audio Officiel)	Camille	Camille	Ta douleur	ok	Y		3
mW1dbiD_zDk	P!nk - Get The Party Started (Official Video)	PinkVEVO	P!nk	Get the Party Started	ok	Y		5
WtuoFv4dcwM	Judas Priest - You've Got Another Thing Coming (Video)	JudasPriestVEVO	Judas Priest	You've Got Another Thing Comin'	ok	N	not_in_allowed_regions	2
8lZQwlFi4rM	Le Droit des pères	Cali - Topic	Cali	Pas le temps de vivre	title_mismatch	Y		2
0qXmxVySMzw	Justice - Stress - † (Official Audio)	Justice	Justice	Stress	ok	Y		3
7F6ej4pHweE	Et maintenant (Remasterisé en 2004)	Gilbert Bécaud - Topic	Gilbert Bécaud	Et maintenant	ok	Y		3
apb37tPgF54	Calogero - Yalla (Clip Officiel)	CalogeroVEVO	Calogero	Yalla	ok	Y		2
dbxyKR1P8vA	Charles Aznavour - Hier encore (Audio Officiel)	AznavourVEVO	Charles Aznavour	Hier encore	ok	Y		1
F6anG1hPs44	Claude François - Belles Belles Belles (Official Lyric Video)	ClaudeFrancoisVEVO	Claude François	Belles, belles, belles	ok	Y		2
RUQl6YcMalg	Billie Eilish - Therefore I Am (Official Music Video)	BillieEilishVEVO	Billie Eilish	Therefore I Am	ok	Y		4
i-gyZ35074k	Zedd - Stay The Night ft. Hayley Williams	ZEDDVEVO	Zedd ft. Hayley Williams	Stay the Night	ok	Y		3
zowYObdYejQ	Snoop Doggy Dogg - Gin And Juice (feat. Daz Dillinger & Dr. Dre)	The Real G Music TV	Snoop Dogg	Gin and Juice	ok	Y		1
eNvUS-6PTbs	Modern Talking - Cheri Cheri Lady (Official Video)	ModernTalkingVEVO	Modern Talking	Cheri Cheri Lady	ok	Y		2
fsG39JgqTmo	Without Me	Eminem - Topic	Eminem	Without Me	ok	Y		3
8i8cK1iqih4	Mon coeur, mon amour	Anaïs - Topic	Anaïs	Mon cœur, mon amour	ok	Y		2
JMWJyzicqVo	REFLECTION | LEA SALONGA | MULAN | AUDIO SONG LYRICS | ORIGINAL VERSION	Lorna Yumul Santos	Lea Salonga	Reflection	ok	Y		1
fZKhI84TT_0	Akhenaton - Lumières orange - Prod By Akhenaton (Official Audio)	AKHENATON	Akhenaton	La Sentinelle	title_mismatch	Y		2
xZJSmV6t-8Q	Renaud - Les bobos (Audio officiel)	Renaud	Renaud	Les bobos	ok	Y		1
yjki-9Pthh0	Beyoncé - BREAK MY SOUL (Official Lyric Video)	BeyoncéVEVO	Beyoncé	Break My Soul	ok	Y		5
YqeW9_5kURI	Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]	Major Lazer Official	Major Lazer & DJ Snake ft. MØ	Lean On	ok	Y		8
TitJFtjAAWk	Kendji Girac - Andalouse (AUDIO)	luka shioshvili	Kendji Girac	Andalouse	ok	Y		3
hvzFPqM7THk	Sexy Sushi - Cheval	tom dr	Vitalic	Le frunkp	title_mismatch	Y		1
QpbHdIrtpNo	Alizée - Moi... Lolita (Official Music Video)	Alizée	Alizée	Moi... Lolita	ok	Y		2
VYErbv_vNCI	Jenifer - Donne-Moi Le Temps (Remastered) [Audio HQ]	GoldenMusic	Jenifer	Donne-moi le temps	ok	Y		1
Ukg95p1W_aQ	Amira - 'Coup De Soleil & The Look You Give That Guy’ | Blind Auditions | The Voice Kids | VTM	The Voice Kids Vlaanderen	Boy	Soleils Cou Coupés	title_mismatch	Y		1
WNa60w5HOB4	Stromae - Papaoutai	StromaeVEVO	Stromae	Papaoutai	ok	Y		5
ksYOJ1mJGuA	Louis Bertignac   Ces Idées La	rslcommunication	Louis Bertignac	Ces idées-là	ok	Y		1
0TFNGRYMz1U	ZAZ - Je veux (Clip officiel)	Zaz Official	ZAZ	Je veux	ok	Y		3
flDppn2F6wY	Maître GIMS - Bella Ciao ft. Vitaa, Dadju, Naestro, Slimane (Audio officiel)	WAVE RIGHT	Maître Gims	Bella	ok	Y		4
NOGEyBeoBGM	Belinda Carlisle - Heaven Is A Place On Earth (Official Music Video)	BelindaCarlisleVEVO	Belinda Carlisle	Heaven Is a Place on Earth	ok	N	blocked_FR	3
OePvsCfKHJg	Phoenix - Trying To Be Cool (Official Video)	Creators	Phoenix	Trying to Be Cool	ok	Y		2
