artist	title	year	rows	current_id	problem	reason	playlists
Chimène Badi	Cassandre	2018	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR 2010s — Mix
Christina Aguilera, Lil' Kim, Mýa & Pink	Lady Marmalade	2001	2	1440845801	artiste différent : « Christina Aguilera, Lil' Kim, Mýa & P!nk » au lieu de « Christina Aguilera, Lil' Kim, Mýa & Pink » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Duos cultes, Karaoké — Soirée Classiques
Collectif Métissé	Laisse-toi aller bébé		1	1444443000	version suspecte : « Radio Mix » (mix)	aucune version standard trouvée (25 résultats, 21 rejetés)	Tubes de l'été
Comptine	Compère, qu'as-tu vu ?		1	1799135253	artiste différent : « Baby Petons » au lieu de « Comptine » (reprise ?)	aucune version standard trouvée (12 résultats, 3 rejetés)	Enfants — 4 à 8 ans
Comptine	Nous n'irons plus au bois		1	1614257225	artiste différent : « La Compagnie Créole » au lieu de « Comptine » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	Enfants — 4 à 8 ans
Comptine	V'là l'bon vent		1	693551039	artiste différent : « Sandrine Conry » au lieu de « Comptine » (reprise ?)	aucune version standard trouvée (18 résultats, 2 rejetés)	Enfants — 4 à 8 ans
Comptine	Vent frais, vent du matin		1	1777515791	artiste différent : « Croc et Pat » au lieu de « Comptine » (reprise ?)	aucune version standard trouvée (25 résultats, 3 rejetés)	Enfants — 4 à 8 ans
Cotton Eye Joe	Rednex		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 11 rejetés)	Country
Daði og Gagnamagnið	Think About Things	2020	1	1506183849	artiste différent : « Daði Freyr » au lieu de « Daði og Gagnamagnið » (reprise ?)	aucune version standard trouvée (1 résultats, 1 rejetés)	Eurovision — Vainqueurs cultes
Damien Saez	J'accuse	2010	1	361390934	artiste différent : « Saez » au lieu de « Damien Saez » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Saez » au lieu de « Damien Saez » (reprise ?))	Variété FR 2010s — Mix
Daniel Balavoine & France Gall	Tous les cris les SOS		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (10 résultats, 6 rejetés)	Duos cultes
David Bowie & Bing Crosby	Peace on Earth / Little Drummer Boy	1977	1	1705148001	artiste différent : « Bing Crosby & David Bowie » au lieu de « David Bowie & Bing Crosby » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Noël
David Guetta ft. Sia	Titanium	2011	4	1688194114	artiste différent : « David Guetta » au lieu de « David Guetta ft. Sia » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « David Guetta » au lieu de « David Guetta ft. Sia » (reprise ?))	Années 2010 — Facile, Années 2010 — Mix, Nouvel An — Party & Compte à rebours, Années 2010
Dee-Lite	Groove Is in the Heart		1	72784339	artiste différent : « Deee-Lite » au lieu de « Dee-Lite » (reprise ?)	aucune version standard trouvée (25 résultats, 4 rejetés)	Un seul tube
Dennis & MC Kevinho	Tá OK		1	1684548976	artiste différent : « DENNIS & MC Kevin O Chris » au lieu de « Dennis & MC Kevinho » (reprise ?)	aucune version standard trouvée (18 résultats, 4 rejetés)	Brésil
Derek and the Dominos	Layla	1970	2	1440663520	artiste différent : « Derek & The Dominos » au lieu de « Derek and the Dominos » (reprise ?)	aucune version standard trouvée (25 résultats, 13 rejetés)	Années 70 — Mix, Intros légendaires
Diam's & Tunisiano	Mauvaise foi nocturne	2003	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (19 résultats, 0 rejetés)	Variété FR — Années 2000 — Difficile, Variété FR — Années 2000
Disiz la Peste	J'pète les plombs		1	1443997358	artiste différent : « disiz » au lieu de « Disiz la Peste » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « disiz » au lieu de « Disiz la Peste » (reprise ?))	Rap FR culte
Dixie Chicks	Goodbye Earl	2000	1	309893745	artiste différent : « The Chicks » au lieu de « Dixie Chicks » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Country
Doc Gynéco & Vitaa	Comme avant	2007	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (5 résultats, 0 rejetés)	Variété FR — Années 2000 — Mix
Doja Cat & SZA	Kiss Me More	2021	1	1571169440	artiste différent : « Doja Cat » au lieu de « Doja Cat & SZA » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Doja Cat » au lieu de « Doja Cat & SZA » (reprise ?))	Années 2020 — Mix
Doja Cat ft. SZA	Kiss Me More	2021	3	1574004703	artiste différent : « Doja Cat » au lieu de « Doja Cat ft. SZA » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Doja Cat » au lieu de « Doja Cat ft. SZA » (reprise ?))	Années 2020 — Easy, Années 2020, Années 2020 — Hard
Dolly	Mascara	1996	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Variété FR — Années 90 — Mix
Dynamic Duo	Ring My Bell		1	1688124640	artiste différent : « Dynamicduo » au lieu de « Dynamic Duo » (reprise ?)	aucune version standard trouvée (25 résultats, 9 rejetés)	K-Pop
E-Type	Set the World on Fire		1	1444276360	version suspecte : « 7" Version » (version)	aucune version standard trouvée (25 résultats, 10 rejetés)	Eurodance 90s
Ed Sheeran ft. Vianney	Pages blanches	2017	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (1 résultats, 0 rejetés)	Variété FR 2010s — Mix
Edward Sharpe & The Magnetic Zeros	Home	2010	1	1759968498	artiste différent : « Edward Sharpe and the Magnetic Zeros » au lieu de « Edward Sharpe & The Magnetic Zeros » (reprise ?)	aucune version standard trouvée (25 résultats, 8 rejetés)	Apéro & Afterwork
Enrique Iglesias	Bailando	2014	6	1444324492	version suspecte : « Kizzo Remix » (remix)	aucune version standard trouvée (25 résultats, 15 rejetés)	Tubes de l'été, Latino, Été — Piscine & Apéro, Latino Fiesta, Nouvel An — Party & Compte à rebours, Apéro & Afterwork
Ensemble Solidarité Sida	Sa raison d'être	1998	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (15 résultats, 0 rejetés)	Variété FR — Années 90 — Mix
Evelyn King	Shame		1	1552096469	artiste différent : « Evelyn "Champagne" King » au lieu de « Evelyn King » (reprise ?)	aucune version standard trouvée (25 résultats, 6 rejetés)	Disco dancefloor
Fedez & Mara Sattei	Mille		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (7 résultats, 1 rejetés)	Italie
France Gall	Christiansen		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Yéyé — Années 60 françaises
France Gall	Laisse tomber les filles		1	50912874	artiste différent : « Fabienne Delsol » au lieu de « France Gall » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Yéyé — Années 60 françaises
France Gall	Les Sucettes	1966	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 4 rejetés)	Yéyé — Années 60 françaises
Fredericks Goldman Jones	À nos actes manqués	1990	2	1475909573	artiste différent : « Carole Fredericks, Jean-Jacques Goldman & Michael Jones » au lieu de « Fredericks Goldman Jones » (reprise ?)	aucune version standard trouvée (19 résultats, 6 rejetés)	Duos cultes, Variété FR — Années 90 — Mix
Fredericks Goldman Jones	Né en 17 à Leidenstadt	1991	1	1475909488	artiste différent : « Carole Fredericks, Jean-Jacques Goldman & Michael Jones » au lieu de « Fredericks Goldman Jones » (reprise ?)	aucune version standard trouvée (3 résultats, 0 rejetés)	Variété FR — Années 90 — Mix
Frozen	Let It Go		1	1477388275	artiste différent : « Idina Menzel » au lieu de « Frozen » (reprise ?)	aucune version standard trouvée (25 résultats, 7 rejetés)	Comédies musicales US
G-Squad	Une seule vie		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	Boys Bands & Girl Bands
g.o.d	One Candle		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 0 rejetés)	K-Pop
Garou, Daniel Lavoie, Patrick Fiori	Belle	1998	2	509229489	id introuvable au catalogue Apple	aucune version standard trouvée (1 résultats, 1 rejetés)	Variété FR — Années 90 — Facile, Variété FR — Années 90
Garth Brooks	Friends in Low Places	1990	1	1704862193	version suspecte : album « Garth Brooks Hits - A Tribute Album » (tribute)	aucune version standard trouvée (25 résultats, 12 rejetés)	Country
Garth Brooks	The Dance	1990	1	1704862194	version suspecte : album « Garth Brooks Hits - A Tribute Album » (tribute)	aucune version standard trouvée (25 résultats, 9 rejetés)	Country
Georgio	Sapés comme jamais? no		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (11 résultats, 0 rejetés)	Variété Française
Grease	Summer Nights		1	940375116	artiste différent : « The Summer Nights » au lieu de « Grease » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Comédies musicales US
Grease	You're the One That I Want		1	1595923063	artiste différent : « The Sunlight Shakers » au lieu de « Grease » (reprise ?)	aucune version standard trouvée (25 résultats, 3 rejetés)	Comédies musicales US
Hairspray Cast	You Can't Stop the Beat	2007	1	1454446955	artiste différent : « Elijah Kelley, John Travolta, Queen Latifah, Nikki Blonsky, Zac Efron, Amanda Bynes & Motion Picture Cast of Hairspray » au lieu de « Hairspray Cast » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Comédies musicales US
Hall & Oates	Maneater		1	1444818206	artiste différent : « Daryl Hall & John Oates » au lieu de « Hall & Oates » (reprise ?)	aucune version standard trouvée (25 résultats, 6 rejetés)	Pop
Harmonium	Pour un instant		1	1483507019	version suspecte : « XLV Remixed » (remix)	aucune version standard trouvée (11 résultats, 3 rejetés)	Québec & Franco
Harry J Allstars	Liquidator		1	1750027595	artiste différent : « Harry J All-Stars » au lieu de « Harry J Allstars » (reprise ?)	aucune version standard trouvée (25 résultats, 8 rejetés)	Reggae & Bob Marley
Hélène Rollès	Je m'appelle Hélène	1993	2	378801781	artiste différent : « Hélène » au lieu de « Hélène Rollès » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Hélène » au lieu de « Hélène Rollès » (reprise ?))	Variété FR — Années 90, Variété FR — Années 90 — Facile
Hélène Ségara	Bohémienne	1998	1	513913461	version suspecte : « Live » (live)	aucune version standard trouvée (3 résultats, 3 rejetés)	Comédies musicales françaises
Henri Dès	Plouf tizen		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Enfants — 4 à 8 ans
Hercules and Love Affair	Blind		1	693380068	artiste différent : « Hercules & Love Affair » au lieu de « Hercules and Love Affair » (reprise ?)	aucune version standard trouvée (25 résultats, 17 rejetés)	Années 2000
Heuss l'Enfoiré	Moooh		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Hip-Hop FR — Années 2020
Hipnosis	Droid		1	119216692	artiste différent : « Hypnosis » au lieu de « Hipnosis » (reprise ?)	aucune version standard trouvée (19 résultats, 9 rejetés)	Italo Disco Classics
Huey Lewis & The News	The Power of Love	1985	2	725785116	artiste différent : « Huey Lewis and the News » au lieu de « Huey Lewis & The News » (reprise ?)	aucune version standard trouvée (25 résultats, 3 rejetés)	Années 80, Années 80 — Moyen
In the Heights	96,000		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (7 résultats, 0 rejetés)	Comédies musicales US
Indochine	Cyborg	2014	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR 2010s — Mix
Jhay Cortez	No Me Conoce	2019	1	1650911393	artiste différent : « JHAYCO » au lieu de « Jhay Cortez » (reprise ?)	aucune version standard trouvée (25 résultats, 21 rejetés)	Latino
Joost Klein	Europapa	2024	1	1732041802	artiste différent : « Joost » au lieu de « Joost Klein » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Joost » au lieu de « Joost Klein » (reprise ?))	Eurovision — Vainqueurs cultes
Jungkook & Latto	Seven	2023	3	1697147758	artiste différent : « Jung Kook & Latto » au lieu de « Jungkook & Latto » (reprise ?)	aucune version standard trouvée (25 résultats, 9 rejetés)	Années 2020, Années 2020 — Mix, Années 2020 — Medium
Jungkook ft. Latto	Seven	2023	2	1697147758	artiste différent : « Jung Kook & Latto » au lieu de « Jungkook ft. Latto » (reprise ?)	aucune version standard trouvée (25 résultats, 9 rejetés)	Années 2020, Années 2020 — Hard
Justice vs Simian	We Are Your Friends	2003	1	1663629935	artiste différent : « Justice & Simian » au lieu de « Justice vs Simian » (reprise ?)	aucune version standard trouvée (17 résultats, 6 rejetés)	French Touch & Electro
Kaïn	Adéla		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (9 résultats, 0 rejetés)	Québec & Franco
Katrina & The Waves	Walking on Sunshine	1985	1	723501674	artiste différent : « Katrina and the Waves » au lieu de « Katrina & The Waves » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Pubs cultes
Koriass	Petites Mains Précieuses		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Québec & Franco
Kygo ft. Parson James	Stole the Show	2015	1	1031388576	artiste différent : « Parson James » au lieu de « Kygo ft. Parson James » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Parson James » au lieu de « Kygo ft. Parson James » (reprise ?))	Electro & EDM
La Compagnie Créole	Maldón (La Démangeaison)	1985	2		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Variété FR — Années 80, Variété FR — Années 80 — Moyen
La La Land	City of Stars		1	1440864026	artiste différent : « Ryan Gosling » au lieu de « La La Land » (reprise ?)	aucune version standard trouvée (25 résultats, 5 rejetés)	Comédies musicales US
Le Roi Soleil (cast)	Tant qu'on rêve encore	2005	1	89600546	artiste différent : « Le Roi Soleil » au lieu de « Le Roi Soleil (cast) » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Le Roi Soleil » au lieu de « Le Roi Soleil (cast) » (reprise ?))	Comédies musicales françaises
Lefa	Toulon Marseille	2018	1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Rap Français
Les Misérables	I Dreamed a Dream		1	337320508	artiste différent : « Susan Boyle » au lieu de « Les Misérables » (reprise ?)	aucune version standard trouvée (25 résultats, 6 rejetés)	Comédies musicales US
Les Worlds Apart	Baby on n'oublie pas		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 2 rejetés)	Boys Bands & Girl Bands
Luis Fonsi feat. Daddy Yankee	Despacito	2017	1	1447401620	artiste différent : « Luis Fonsi & Daddy Yankee » au lieu de « Luis Fonsi feat. Daddy Yankee » (reprise ?)	aucune version standard trouvée (25 résultats, 20 rejetés)	Apéro & Afterwork
Luis Fonsi ft. Daddy Yankee	Despacito	2017	5	1447401620	artiste différent : « Luis Fonsi & Daddy Yankee » au lieu de « Luis Fonsi ft. Daddy Yankee » (reprise ?)	aucune version standard trouvée (25 résultats, 20 rejetés)	Anniversaire, Tubes de l'été — 2005 à 2019, Nouvel An — Party & Compte à rebours, Années 2010 — Mix, Été — Piscine & Apéro
Lujipeka	Trésor		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Hip-Hop FR — Années 2020
Luther	Néglige		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (4 résultats, 0 rejetés)	Hip-Hop FR — Années 2020
Maître Gims	Bella	2013	4	749321955	artiste différent : « GIMS » au lieu de « Maître Gims » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « GIMS » au lieu de « Maître Gims » (reprise ?))	Variété Française, Variété FR 2010s — Easy, Rap FR culte, Variété FR — Années 2010
Marcel Mouloudji	Comme un p'tit coquelicot		1	465498559	artiste différent : « Mouloudji » au lieu de « Marcel Mouloudji » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Mouloudji » au lieu de « Marcel Mouloudji » (reprise ?))	Chanson Française Classique
Marie-Mai	CNJ		1		aucun apple_music_id (titre injouable en Apple)	aucun résultat Apple	Québec & Franco
Marie-Mai	Dégénération		1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 1 rejetés)	Québec & Franco
Maroon 5 ft. Megan Thee Stallion	Beautiful Mistakes	2021	3	1556706159	artiste différent : « Maroon 5 & Megan Thee Stallion » au lieu de « Maroon 5 ft. Megan Thee Stallion » (reprise ?)	aucune version standard trouvée (25 résultats, 0 rejetés)	Années 2020 — Hard, Années 2020, Années 2020 — Easy
Maroon 5 ft. SZA	What Lovers Do	2017	2	1444618664	artiste différent : « Maroon 5 » au lieu de « Maroon 5 ft. SZA » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Maroon 5 » au lieu de « Maroon 5 ft. SZA » (reprise ?))	Années 2010 — Facile, Années 2010
Martha and the Vandellas	Dancing in the Street	1964	1	1442267432	artiste différent : « Martha Reeves & The Vandellas » au lieu de « Martha and the Vandellas » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Années 60 — Internationales
Max Coveri	Running Away		1	724665427	artiste différent : « Maze & Frankie Beverly » au lieu de « Max Coveri » (reprise ?)	aucune version standard trouvée (25 résultats, 2 rejetés)	Italo Disco Classics
Mickey 3D	Tu lui diras	2003	1		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (25 résultats, 3 rejetés)	Rock Français
Moulin Rouge!	Come What May		1	1675404092	artiste différent : « Nicole Kidman & Ewan McGregor » au lieu de « Moulin Rouge! » (reprise ?)	aucune version standard trouvée (25 résultats, 4 rejetés)	Comédies musicales US
Mozart Opéra Rock	Penser l'impossible	2010	1	312617289	artiste différent : « Maeva Méline, Solal & La Troupe de Mozart l'Opéra Rock » au lieu de « Mozart Opéra Rock » (reprise ?)	aucune version standard trouvée (25 résultats, 1 rejetés)	Comédies musicales françaises
Mozart Opéra Rock	Tatoue-moi	2010	2	393791494	artiste différent : « Mikelangelo Loconte » au lieu de « Mozart Opéra Rock » (reprise ?)	aucune version standard trouvée (7 résultats, 2 rejetés)	Variété FR — Années 2010, Variété FR 2010s — Medium
Mozart Opéra Rock	Vivre à en crever	2009	1	393791507	artiste différent : « Florent Mothe & Mikelangelo Loconte » au lieu de « Mozart Opéra Rock » (reprise ?)	aucune version standard trouvée (25 résultats, 7 rejetés)	Comédies musicales françaises
Mylène Farmer	Je t'aime mélancolie	1991	1	1443550014	version suspecte : « remix » (remix)	aucune version standard trouvée (24 résultats, 20 rejetés)	Variété FR — Années 90 — Mix
Mylène Farmer	Salomé	2008	2		aucun apple_music_id (titre injouable en Apple)	aucune version standard trouvée (5 résultats, 1 rejetés)	Variété FR — Années 2000 — Difficile, Variété FR — Années 2000
Natasha St-Pier & Pascal Obispo	Tu trouveras	2002	1	253538681	artiste différent : « Natasha St-Pier » au lieu de « Natasha St-Pier & Pascal Obispo » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Natasha St-Pier » au lieu de « Natasha St-Pier & Pascal Obispo » (reprise ?))	Duos cultes
Native	Tu planes sur moi	1993	2	1573221356	version suspecte : « Version masterisée 2021 » (version)	aucune version standard trouvée (14 résultats, 6 rejetés)	Variété FR — Années 90, Variété FR — Années 90 — Difficile
Nelly & Kelly Rowland	Dilemma	2002	1	158821282	artiste différent : « Nelly » au lieu de « Nelly & Kelly Rowland » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Nelly » au lieu de « Nelly & Kelly Rowland » (reprise ?))	Duos cultes
Nelly feat. Kelly Rowland	Dilemma	2002	1	158821282	artiste différent : « Nelly » au lieu de « Nelly feat. Kelly Rowland » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Nelly » au lieu de « Nelly feat. Kelly Rowland » (reprise ?))	Soul & R&B
Nelly ft. Kelly Rowland	Dilemma	2002	2	158821282	artiste différent : « Nelly » au lieu de « Nelly ft. Kelly Rowland » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Nelly » au lieu de « Nelly ft. Kelly Rowland » (reprise ?))	Années 2000 — Moyen, Années 2000
Nelly Furtado ft. Timbaland	Promiscuous	2006	1	1445011775	artiste différent : « Nelly Furtado » au lieu de « Nelly Furtado ft. Timbaland » (reprise ?)	seul candidat = l'id actuel, lui-même défectueux (artiste différent : « Nelly Furtado » au lieu de « Nelly Furtado ft. Timbaland » (reprise ?))	Tubes de l'été — 2005 à 2019
